ID	Content	A	B	C	D
503	I want  to see all of you here tomorrow morning at nine o'clock without __.	fail	fault	late	miss
504	The children were __ by  the television programme.	fascinated	fascinate	fascination	fascinating
505	"He __ escape from the prison by dressing up as a  guard, and then crossed the border by train."	could	was  able	succeeded in	managed to
506	A passer-by who actually  witnessed the robbery __ now been found.	was	had	has	is
507	It was impossible for her to  tell the truth so she had to __ a story.	invent	combine	manage	lie
508	The child woke up crying  because she had __ a nightmare.	had	seen	dreamt	felt
509	I hope to get an answer to my  letter by __ of post.	round	next	return	back
510	Didn't it  ever __ to them that they would be punished?	occur	happen	enter	strike
511	We started early  __ to miss the worst of the traffic.	so  that	in so far	so long as	in order
512	The  children threw snowballs at __ on their way to school.	themselves	another	each other	their  own
513	Don't be so sure __ yourself.	on	of	with	to
514	She usually buys her  eggs __ the dozen.	to	for	by	on
515	"He's  entitled __ a pension, but he won't dream of retiring yet."	to	for	on	in
516	"Before you run  __ other people, it is as well to consider your own faults."	over	up	down	after
517	The children won't  go to sleep __ we leave a light on outside their bedroom.	except	otherwise	unless	but
518	The  effectiveness of Escher's work relies __ his use of perspective.	on	in	by	of
519	The American Indians  are suing the government for the return of their __ lands.	antique	inherited	ancestral	hereditary
520	Some animals are on the __ of becoming extinct.	edge	verge	up	side
521	One __ of his job is that it is near where  I live.	goodness	advantage	pleasure	preference
522	The children loved __ the old castle.	discovering	exploring	hunting	detecting
523	This is a photograph of  the school I __ when I lived in Swindon.	used	assisted	joined	attended
524	"- Freda: Do you know our  city at all? - Barry: No, it's the first time __ here."	I have been	I  was	I had been	I am coming
525	Many accidents are  caused by __ driving.	harmless	careless	harmful	careful
526	Mr and  Mrs Black were delighted when they __ to sell their house so quickly.	succeeded	could	risked	managed
527	It sounds __  the situation is unlikely to improve.	as if	how	as	so that
528	He __ very quickly  after his illness.	recovered	discovered	uncovered	covered
529	"Caring for her younger brother is a __ burden for  her, but she never complains."	sour	bitter	large	heavy
530	The  President made a wonderful __.	message	talk	lecture	speech
531	There  is a fault at our television station. Please do not __ your set.	repair	adjust	switch	change
532	He  __ going by plane instead of hovercraft.	persuaded	agreed	suggested	convinced
533	Please concentrate __ what you are doing.	with	in	to	on
534	Many people do not  approve __ blood-sport.	for	to	of	with
535	You must encourage him __ his efforts.	at	with	to	in
536	The ball __ two  or three times before rolling down the slope.	bounced	sprang	leapt	hopped
537	It's __  helping you.	good	no good	a little  good	not good
538	Would you agree that men pay less attention  __ than women do?	to the dress	on dress	to dress	at  dress
539	We can only give you the __ number of refugees  crossing the border at the moment.	suggestive	nebulous	approximate	unclear
540	As drunk as __ =  very drunk.	a lord	a hunter	a fish	a  barrel
541	How __ you manage to get here so quickly?	used	had	did	have
542	The guide walked so  __ that most of the party could not keep up with him.	fast	quick	rapid	lively
543	"Membership of the club,  __ costs $10.000 a year, is only open to people over the age of 60."	what	which	that	this
544	The young man swore that he  would take __ his father's killers.	revenge in	revenge  on	revenge	revenge at
545	"__ he wasn't  feeling very well, Mr Graham went to visit his aunt as usual."	Although	However	Therefore	Still
546	That fellow has a dishonest  __ in his character.	stripe	streak	stroke	strip
547	"Having  looked the place __, the gang went away to make their plane."	through	over	down	out
548	"We're selling the hotel  __ of the summer, and retiring."	on the end	at the  end	in the end	to the end
549	I think he is unwell; he  was complaining __ a headache this morning.	at	of	from	against
550	You'll have to hurry  because the __ train leaves in ten minutes.	latter	last	latest	least
551	I am  not used __ spoken to in such a rude manner.	for  being	to being	to be	being
552	"There was a  beautiful, small hotel standing __ hundreds of palm trees near the beach."	in	between	around	among
553	"As the  two teams were __ at the end of the game, they had to play again to decide  the winners of the competition."	correct	equal	exact	fair
554	The shops are always __ of people at  Christmas time.	full	stuffed	busy	crowded
555	His request __ me completely by surprise.	left	shook	made	took
556	I have often  __ why they went to live abroad.	wondered	surprised	thought	puzzled
557	"I  know he is slow at understanding, but you have to be patient __ him."	for	with	to	about
558	Most people never  __ with violent crime.	get into contact	come into a  contact	come into contact	get in touch
559	I don't think I  __ this book ever before.	will read	would read	have  read	read
560	a City man = __.	"a man who works  in the City, the financial heart of London"	"a man who is born in the  City, the financial heart of"	any man with a higher  education	someone who is constantly showing off
561	Is there a bank where I can __ these pounds  for dollars?	exchange	turn	alter	arrange
562	The  chief of police said that he saw no __ between the six murders.	joint	connection	communication	join
563	"Smoking is a very bad habit,  which many people find difficult to __."	break	beat	breathe	cough
564	"Would you __ passing  this book to Sue, please?"	want	agree	mind	accept
565	There's  __ to be frightened of the dog; he's quite harmless.	a fear	no  fear	no need	any reason
566	Her father won't  __ her drive his car.	allow	let	leave	permit
567	The  competitors in the car rally had to follow the __ laid down by the  organisers.	address	direct	progress	route
568	If only I  __ play the guitar as well as you!	would	should	could	might
569	It is a great __ that  the exhibition was cancelled at the last minute after all your work.	pity	sorrow	complaint	sadness
570	"On our __ to France,  the car broke down twice."	going	way	voyage	road
571	"He has  adopted three orphans __ his own six children so that, altogether, he has  nine children to provide for."	besides	except	beside	in place of
572	I cannot understand how you put __  these depressing surroundings.	up with	out	forward	by
573	I regret to say that you will have to take things  __.	as you find them	like you find them	so as you find  them	so that you find them
574	"We __ to go to the  concert, but we ran out of time and so, we didn't go."	would  go	were to go	were to have gone	were  gone
575	No one __ he was.	could be  quicker than	could be so quick as	could have been  quicker than	can be as quick as
576	"This house is  cheap, but that one is __."	cheaper even	cheaper  yet	cheaper still	more cheaper
577	"If the line is  busy, don't wait and __."	hang on	hang up	hang  down	hang at
578	"If they __ to that party, they would  certainly have decided to attend it."	had been  invited	will be invited	have been invited	were  invited
579	"If I saw Mark, I __ him to a party."	invite	will invite	would invite	have invited
580	I was very __ not to pass of the message about the holiday being  cancelled.	elicited	enticed	cajoled	tempted
581	After the party the children was allowed to  finish off the __ sandwiches and cakes.	additional	leaving	remaining	left
582	We would very much __ a  reply by the end of the month.	expect	require	appreciate	value
583	"When he  heard the joke, he burst into loud __."	smiles	laughter	amusement	enjoyment
584	I don't think I could  ever get used to __ to work so early.	go	have  gone	going	be going
585	__ amount of money  can buy true friendship.	No	Never	None	Not only
586	The  Government should be spending money on new hospitals __ than on defence.	other	rather	better	instead
587	I was very __  of myself for forgetting Mother's birthday.	disgraced	ashamed	shy	shocked
588	She's got a fabulous job  and she earns a great __ of money.	deal	quantity	amount	level
589	Mrs Carter is an expert  __ the mating habits of the ostrich.	about	on	at	in
590	It's difficult to tell the  twins apart because the look exactly the __.	alike	similar	identical	same
591	"Contrary  to my expectations, there was no need to be uneasy __ the results of the  match."	on	for	to	about
592	It is  impossible to prevent them __ quarrelling with each other.	from	to	of	in
593	This car is inferior  __ the one I bought last year.	for	to	at	by
594	He plays __ the  school team.	on	in	by	of
595	I despair  __ ever teaching him anything.	off	of	on	in
596	We are fortunate in  having sufficient supplies of fuel __ the winter.	to	at	for	on
597	He was found guilty  __ a great many crimes.	from	for	of	at
598	"__ Patrick, he can't possibly go alone - he's far too  young."	As for	As if	As	As far as
599	I'm  afraid I know nothing about the fight for independence. It was __.	behind the  times	as the same time	before my time	for the time  being
600	Many of the jobs which have been created in this area can  be directly __ to tourism.	supported	dedicated	attracted	attributed
601	When the manager went to Canada on business his  __ took over all his duties.	caretaker	officer	deputy	commander
602	He saw  the plane crash into the sea when its engines __.	failed	stood	struck	held
603	"You are going to come to the  party, __?"	aren't you	do you	will you	won't you
604	You  will never finish that job by tomorrow morning unless you __ some help.	will  get	would get	get	will have got
605	It's  difficult to pay one's bills when prices keep __.	rising	growing	gaining	raising
606	"After the death of her  mother, Diana was brought __ by her aunt."	round	about	up	in
607	But why did the police suspect  you? It just does not make __ to me.	reason	right	sense	truth
608	"When she heard that her son  had crossed the road without looking, she told him he __ do it again."	needn't	didn't need to	mustn't	didn't have to
609	He went to  Australia hoping to find a teaching __ without too much difficulty.	work	occupation	employment	post
610	I can't __ what he's  doing; it's so dark down there.	see through	make out	look  into	show up
611	We have __ good transport in my  country.	a	very	the	many
612	"I'd like  you to meet a very good friend of __, Alan Davis."	us	we	our	ours
613	They travelled to  Spain by the most __ route.	easy	direct	straight	unique
614	The film was based __ a novel by Dickens.	to	of	on	in
615	I should be grateful  __ any advice you can give.	with	about	from	for
616	I was shocked __ his indifference!	on	with	at	to
617	"The Director has just  gone on his __ leave. He gets four weeks' holiday a year and he is taking  it all at the same time. So if you wish to see him, come back in a moment's  time."	annual	temporary	regular	permanent
618	They have __ this minute left for the station.	ever	already	just	almost
619	"To my __,  inflation is a far greater danger than nuclear arms."	mind	opinion	belief	view
620	Mr and  Mrs Hudson are always __ with each other about money.	annoying	arguing	discussing	shouting
621	I took that faulty kettle back to the shop where  I'd bought it and asked the __ if they would change it for me.	clerk	attendant	assistant	official
622	"- Flora: You're awfully  behind with the work, aren't you? - Daisy: I know. I __ to the cinema last  night."	oughtn't to go	had not to go	haven't had to  go	shouldn't have gone
623	You will spend at least one year  working abroad __ you can find out how things operate overseas.	because	so as  to	so that	as long as
624	I can __ with most  things but I cannot stand noisy children.	put aside	put  on	put up	put off
625	I think he is __ his  time looking for a job there; they are not taking any staff on at present.	wasting	losing	spending	missing
626	It is a good idea  to be __ dressed when you go for a interview.	finely	boldly	smartly	clearly
627	I was pleased to see how  __ she looked after her recent illness.	right	pleasant	well	nice
628	Shall we __ across this  field instead of going by the road?	set	take	come	cut
629	Write to me and tell me  __ about your holiday in Switzerland.	every	all	much	some
630	It's rude to interrupt when  someone else is __.	discussing	remarking	saying	talking
631	"- Betty: I didn't really enjoy the party last night. -  Adela: No, and __."	neither we did	we didn't either	we didn't  too	so didn't we
632	"__ of the month, I hope I shall  have lost another two kilos."	At the end	In the end	To the  end	By the end
633	"I reasoned __ him, but he would not  listen to me."	to	at	for	with
634	He is  responding __ treatment and will soon be cured of his illness.	on	in	for	to
635	Nothing will prevent  him __ succeeding.	on	of	in	from
636	He  criticised everything and everybody and even ran __ his few friends.	up	into	down	over
637	Why did you have  __ his last lecture?	such difficulties to follow	such a difficulty to  follow	such difficulty in following	such difficulty at  following
638	I was sitting in a cafe __ afternoon when I saw  the Prime Minister pass by.	an	the	in	one
639	The __ question in this case is whether the accused had  a motive for this crime or not.	forcible	supreme	valuable	crucial
640	She's the best assistant I've ever had. I  couldn't __ for a better one.	abide	agree	average	ask
641	You are not allowed __ in this carriage.	to  smoke	smoke	that you smoke	smoking
642	I think  you'd better __ before they return.	be gone	being  gone	be going	to be gone
643	"""I __ you all,""  she said, as she ran out of the room in tears."	am hating	would  hate	can hate	hate
644	I'm sorry we're late; it's all  my __!	guilt	crime	fault	wrong
645	I chose  these curtains because they are my __ shade of red.	favourite	popular	fancy	lovable
646	I wonder __ like to  travel by Concorde.	that it is	what it is	how it is	what is  it
647	Two other __ in his argument for his country's  independence are worth a mention.	notices	points	effects	reports
648	Several  soldiers were __ wounded in the battle. They needed a lot of help.	completely	hardly	seriously	utterly
649	"Bill's a lucky fellow, he  always seems to fall on his __."	legs	feet	ankles	hands
650	__ experience of  working in an office environment is essential for this job.	Earlier	First	Initial	Previous
651	Only  by shouting very loudly __ a taxi to stop for her.	she  got	she's got	did she get	she did get
652	"For a long time after the accident, he suffered from constant __ in his  back."	hurt	ache	pain	injury
653	An  enormous __ of rubbish had built up in the factory yard over the years.	hill	pile	lot	tower
654	Experiments have  proved that children can be instructed __ swimming at a very early age.	to	for	in	with
655	Mark will come  __ home quite late.	to	for	back	into
656	I was  instructed __ drawing once upon a time.	about	at	on	in
657	How can you agree  __ such an idea when you are ignorant of the basic facts?	at	with	by	on
658	It was __ to  meet you.	pleasure	a pleasure	the  pleasure	some pleasure
659	Unexpectedly the lights __ out  and we were left in the darkness.	turned	put	went	gave
660	"For this recipe to be successful, you __  cook the meat for at least two hours in a moderate oven."	need	must	ought	will
661	"When factories are __ by management, then  workers tend to lose their jobs."	automatic	automatically	automation	automated
662	"- Roland: Have the children had supper yet? - Marion:  No, and they're not used __ it so late."	to have	that they  have	to having	of having
663	"""Be careful, Stuart,  Paola has her eyes __ you,"" Carol said."	at	for	on	to
664	"In spite of the anaesthetic,  Pauline was fully __ during the operation."	awake	conscious	aware	sensitive
665	This morning the postman  was __ down the street by my dog.	hunted	chased	run	sped
666	I don't __ to see her  again until next Tuesday.	think	wait	attend	expect
667	"Some  drivers, after __, annoy their fellow-motorists by slowing down again  immediately."	passing by	overtaking	taking over	passing  along
668	"After two months, he had __ news of what she was doing  in London."	several	few	little	a
669	"Now that my  dad is retired, he enjoys __ more time with his grandchildren."	to take	taking	spending	to spend
670	His debt now amounts  __ $100.	to	in	on	with
671	You  demand too much of him; he is not really equal __ the task.	for	at	with	to
672	"Even though he is  thirty five, he lives on his mother and is completely dependent __ her."	of	from	on	with
673	Will you have  __ to tell her the truth?	the nerves	the nerve	some  nerves	some nerve
674	Parents and children __ enjoyed the  show.	both	likewise	alike	either
675	The programme of reconstruction in the city centre is now  __.	well under way	out of way	well in the  way	through the way
676	"The production comes along well,  although there were some __ at the very beginning."	teething  troubles	starting problems	last straws	nutshells
677	"If  I could understand this text, I __ the next page."	read	would read	will read	have read
678	Please __ and see us some time - you're always welcome	come  to	come about	come around	come away
679	I  could __ a note of panic in his voice.	desist	detect	detest	deter
680	Thousands of people use the __ of footpaths across these hills.	grid	circuit	network	channel
681	The teachers at the school __ with 'flu one  after the other.	went down	went off	went out	went under
682	"The  bank manager agreed to give me 200$, __ the 500$ he had already lent me."	extra  to	according to	in addition to	surplus to
683	What  do you usually __ for delivering things?	demand	charge	cost	price
684	She chose some attractive  __ paper for the Christmas present.	covering	wrapping	involving	packing
685	It was very beautiful cloth  __ from silk.	composed	worn	woven	threaded
686	We've  __ of time to catch the train so there's no need to rush.	very much	enough	great deal	plenty
687	He put the two letters into  the wrong envelopes __ mistake.	on	by	with	in
688	She seems very confident but you  __ never judge by appearances.	could	should	might	ought
689	We couldn't have our picnic  because it began to __ with rain.	flow	drench	run	pour
690	The three friends all  __ for the same job.	requested	chose	applied	referred
691	Our  plane was __ for over four hours because of fog.	delayed	postponed	landed	cancelled
692	"I  have to be careful which soap I use, because my skin is very __."	sensible	senseless	sensational	sensitive
693	The  government wants people to set __ their own businesses.	off	in	up	down
694	He's intelligent  but he __ common sense.	wants	fails	misses	lacks
695	I wonder who drank all the milk yesterday. It __ have  been Jane because she was out all day.	can't	must	could	needn't
696	The government  is opposed __ giving people large pay rises.	to	against	at	for
697	I will show you his  letter if I __ it.	could find	found	find	will find
698	"After the __ journey, the President sent a request to the Prime Minister  asking that they __ their meeing until he had an opportunity to refresh  himself."	exhilarating...commence	lengthy...defray	exhausting...defer	dilatory...reschedule
699	He gave a  dramatic __ of his adventures in the heart of Africa.	tale	legend	saga	account
700	Many people are  camping for the __ of whale hunting.	annihilation	extiction	abolition	extermination
701	I am very __ in information about your  company's holidays.	concerned	interested	interesting	bored
702	The meteorologists say we're likely to have a __  winter.	calm	soft	mild	smooth
703	Do you  think Jane and Adam marry __?	lastly	in the  end	at last	by the end
704	You should __ a  lawyer before you sign that document.	counsel	check	consult	communicate
705	"You can take a horse to  water, but you can't __ it drink!"	make	allow	compel	see
706	"He is a little bit __ in  his left ear, but if you speak clearly he will hear what you say."	disabled	deaf	diseased	dead
707	Several of the explorers did  not survive the terrible __ across the desert.	excursion	journey	step	travel
708	Heavy snowfalls have  __ all trains.	cancelled	postponed	delayed	omitted
709	The heavy rainstorms __ more than five days.	went	took	proceeded	lasted
710	There will now be a  __ interval for refreshments.	small	little	light	short
711	"The play was very  long, but there were two __."	intervals	rests	interruptions	gaps
712	The stolen jewels were  __ a lot of money.	valued	cost	priced	worth
713	"They  had a plan to trick him, but he didn't fall __ it."	for	to	at	by
714	It is unreasonable to  demand this __ him.	of	in	off	at
715	It took me  a long time to get rid __ him.	of	off	against	from
716	They  differ __ each other so much.	of	from	with	in
717	There is little  __ in this department.	hung around	hanging  around	to hang around	having hung around
718	"I would not  let him go, if I __ all about this trip."	knew	know	have known	would know
719	They were __ for smuggling jewelry into the country.	judged	arrested	accused	warned
720	"At  first, very few people believed Darwin's theory of evolution because it did not  seem at all __."	plausible	creditable	feasible	discernible
721	"__ you leave for the station very soon,  you'll miss the train."	Unless	Although	However	When
722	"I haven't  met him, but I did once __ across his wife."	go	get	come	look
723	Tom __ his next  appointment at the doctor's.	cancelled	erased	wiped	ended
724	The wind  blew so hard and so strongly that the windows __ in their frames.	rattled	slapped	flapped	shocked
725	They would __ go by  air than spend a week travelling by train.	always	rather	prefer	better
726	It's all over between Pete  and Anne: she's walked __ on him.	off	away	out	back
727	He has a bad cold and won't be  __ to play in the match tomorrow.	adequate	appropriate	fit	proper
728	He spoke so fast I couldn't  understand __ he was talking about.	what	which	that	how
729	Please go in. Mr Jones is free  __ you now.	see	will see	to see	seeing
730	Everyone  felt __ for Mr Atkins when he lost his job at the factory.	discontent	sad	sorry	unhappy
731	What  __ will this decision have on the future of the club?	result	effect	answer	purpose
732	This  year the roses were __ a month earlier than usual.	in full  cry	in full swing	in full bloom	at full blast
733	Everyone shared __ his happiness.	on	in	at	against
734	The climber  failed __ his attempts to reach the summit.	in	with	at	to
735	"I tried to reason  __ him, but he was very rude to me."	on	with	by	for
736	Are you aware  __ the difficulties that lie ahead of you?	of	by	about	on
737	He is not different  __ anyone else.	for	from	of	on
738	The  teacher often goes to see new exhibitions in art galleries. Dick usually goes  there __ him.	to	with	at	by
739	She  worships the sun and __ she always spends her holidays in Greece.	nevertheless	accordingly	yet	however
740	I'm afraid I can't come over this afternoon because I'm  tied __ at the office.	in	up	on	down
741	People wore __ they liked to the party: it  was very casual.	everything	nothing	anything	something
742	He  drives so quickly that I am afraid that one day he will __ someone  crossing the street.	crash down	knock down	turn over	run  across
743	Don't worry: the snake is perfectly __.	tame	harmless	harmful	domestic
744	One of the main advantages  __ the new PCX 232 personal computer is that it is very simple to operate.	for	by	of	on
745	You'd better set off ten  minutes early __ there is a lot of traffic.	so that	as  regards	as if	in case
746	"When I saw Bill's reaction,  I bitterly regretted __ told him."	to have	have	having	to having
747	"The shirt I was wearing  today was torn, but I don't think anyone __."	watched	remarked	mentioned	noticed
748	This is the oldest building  __ the village.	of	by	in	to
749	"She was  singing an old Spanish folksong, a favourite of __."	her	hers	herself	her own
750	So __ people came to  the theatre that they had to cancel the performance.	few	a few	little	a little
751	Research scientists are still looking for a cure __ heart disease.	for	to	against	on
752	Put the  salt in the water and let it __ before adding the vegetables.	dissolve	melt	soften	mix
753	It is far  too hot for you __ the garden.	to  dig	digging	for digging	have dug
754	She  told Alan __ for borrowing her guitar without permission.	on	off	of	out
755	"If you interfere  __ other people's affairs, you will regret it."	to	with	at	about
756	Are you aware of  the difficulties that lie ahead __ you?	to	for	at	of
757	I left my office  after I __ the last letter.	have been writing	should have  written	have written	had written
758	His doctor made him  __ in bed for a few days.	stay	to stay	staying	is  staying
759	As quick as __ = very quick (e.g. in running or  seeing through a problem).	a snake	cats	fire	lightning
760	"The  police have not had time to complete their investigations, but they have  concluded __ that the explosion was caused by a bomb."	temporally	tenuously	tentatively	terminally
761	I'm going to get a new car; I'm tired __  having to take this one to the garage to get it repaired all the time.	of	in	with	at
762	__ a computer can help you  work much faster.	To have	Having	In having	By having
763	I  __ be delighted to show you round the factory.	ought to	would	might	intend to
764	"__ the wet weather,  the football match went ahead."	Although	Owing to	However	In spite of
765	She  rang to make an early __ at the hairdressers.	order	date	assignment	appointment
766	Mike was the __  in his family; all his brothers were much taller.	lowest	shortest	slightest	littlest
767	Could you buy a cake  please __ John and Mary come this afternoon?	if only	because	on account of	in case
768	One __ of public  transport is its unreliability.	disappointment	disadvantage	disorder	dislike
769	Did you know that Vanessa is __ a baby?	hoping	wishing	expecting	waiting
770	The main __ to  progress is not technical but political.	prevention	obstacle	clash	reverse
771	The best rooms in that hotel __ the bay.	view	regard	overlook	examine
772	The  by-laws say that all dogs __ be kept on a lead in the park.	ought	need	must	have
773	Separate the eggs  and then beat with a __.	whip	whisker	wick	whisk
774	He was __ to steal the money when he saw it lying on  the table.	attracted	dragged	tempted	brought
775	"My father __ me to learn English when I was a  child, but never forced me."	let	persuaded	compelled	heard
776	We are accustomed __ bad weather.	of	from	for	to
777	I was afraid __  mentioning it to him.	of	in	at	to
778	"I warned  him __ the danger, but he wouldn't listen to me."	of	at	in	on
779	Petrol is feared  __ in price this week.	to go up	to be going  up	to have gone up	to have been going up
780	I will ask  him to come if I __ him.	will see	see	saw	have seen
781	In the jar there was a __ which looked like  jam.	substance	material	solid	powder
782	"Because his argument  was so confusing, __ people understood it."	few	clever	less	many
783	We are __ him to arrive  at any moment.	waiting	hoping	expecting	wishing
784	You  __ worry about paying the gas bill - I've already done it.	needn't	daren't	can't	might not
785	I've made an appointment  for 10 o'clock. Is that __ for you?	fit	appropriate	convenient	right
786	You look __ you've seen  a ghost!	so that	as if	that	so as
787	You  __ blame yourself for the accident. It wasn't your fault.	daren't	mustn't	won't	oughtn't
788	Naturally I'm __  that I didn't pass the examination but I'll do better next time.	deceived	despaired	disappointed	disillusioned
789	Today's newspaper has  __ interesting article on space travel.	quite an	nearly  an	a partly	an almost
790	Your brother is much  taller __ you.	as	how	than	from
791	My aunt  and uncle always quarrelled about their tea; she liked it strong but he wanted  it __.	feeble	weak	small	poor
792	"Getting  divorced was a __ decision for us to make, but I'm sure it was the right  one."	hard	firm	strong	large
793	Mr  Smith was __ in a road accident.	wronged	wounded	injured	damaged
794	We  expected him at eight but he finally __ at midnight.	came  to	turned out	turned up	came off
795	Buses into town run __ twenty minutes or so.	each	all	some	every
796	Can you possibly  make __ what he has written here?	for	up	out	up for
797	I can't say what  her name is though it is __.	on the top of my tongue	on top of my  tongue	on the tip of my tongue	on my tongue's tip
798	Whether or not to abolish corporal punishment in schools is still __ in  educational circles.	bone of contention	bone of agreement	proposal of  contention	a bone of contention
799	I __  a nice present yesterday.	have been given	am given	was given	would  give
800	"As bold as __ = cheeky, impudent."	bones	brass	a bear	a bottle
801	He was an __ writer because he persuaded  many people to see the trust of his idea.	ordinary	influential	unlimited	accurate
802	I __ seeing John  tomorrow so I will give him your message.	shall be	may  be	would be	could be
803	The temperature yesterday  was about __ for the time of year.	moderate	average	middle	level
804	John swims very well and  __ does his brother.	also	even	so	too
805	The old lady  was very __ for our help.	pleased	appreciated	delighted	grateful
806	__ it was raining heavily he went out without a  raincoat.	In spite	In spite of	However	Although
807	Your progress will be __ in six months' time.	counted	evaluated	valued	enumerated
808	I don't know why  he complains about his low salary all the time. He doesn't earn as __ as I  do.	less	few	more	little
809	"The company has had  a bad year, and will therefore not be __ any new workers."	taking up	taking  off	taking on	taking after
810	He's a wonderful  cook: he can make a delicious __ out of almost anything.	flavour	food	meal	plate
811	"From now on  everything will be __ sailing, I hope. No more problems."	simple	straight	plain	pretty
812	He could hardly  __ such a generous offer.	turn down	turn for	turn  off	turn round
813	He had made his money by developing a  profitable travel __.	commerce	shop	affair	business
814	Do you believe __ all that nonsense?	on	in	to	at
815	"I'm not sure __  the exact date, but I think he arrived here in 1959."	with	about	for	of
816	"She may pride herself  on her abilities, but she's not capable __ bringing up children."	of	for	on	in
817	He was born __.	without  wedlock	out of wedlock	out of a wedlock	out of the  wedlock
818	"Although they have travelled extensively, they have never  been __."	to the antipodes	to antipodes	to  Antipodes	at antipodes
819	At this hour the street was __ as  everyone was fast asleep in bed.	wretched	deserted	devastated	denuded
820	All __ artists  must struggle with the conflict between __ their own talent and knowledge  that very few are great enough to succeed.	great...  neglect of	aspiring... faith in	ambitious...  indifference to	prophetic...dissolution of
821	Our house isn't difficult to find: it's __  St.Mary's Church.	against	across	between	beside
822	A lot of  my friends have __ smoking in the last few years.	put off	held  back	cut off	given up
823	Tell me __ there is  anything special that you would like to do.	that	which	so	if
824	I'm making you responsible for  this project. Please see __ it that it is finished on time.	to	into	for	on
825	He suggested __ to the  cinema together.	us to go	we are going	that we should  go	for us to go
826	"According to the forecast it will be  mostly cloudy, with __ of rain in the north."	outbreaks	elements	bursts	times
827	My parents __ very  strongly of people who smoke.	disappoint	dislike	distrust	disapprove
828	She  bought a new __ for the party.	clothes	clothing	dress	vest
829	"When our company got a new  computer, I had to __ a course in programming."	study	work	make	do
830	This morning's history lesson  seemed to go __.	through and through	on and on	over and  over	off and on
831	"I know him by __, but I have no idea  what his name is."	sight	myself	heart	chance
832	The car burst into __ but the driver managed to  escape.	fire	burning	heat	flames
833	"I know he is slow __ understanding, but you have to  be patient with him."	to	on	at	from
834	I'll be  absent __ class tomorrow.	from	at	to	in
835	"It gives me __ to introduce our today's speaker,  Professor Smith."	a great pleasure	great pleasure	great  pleasures	much pleasures
836	They __ in Poland for more than  three weeks now.	have been staying	are staying	stay	were  staying
837	"Look, Officer, I am not drunk. I am as __ as a  judge."	calm	steady	clear	sober
838	The working atmosphere has gone downhill since you joined.  You have a lot to __ for.	agree	abide	attribute	answer
839	The fact that the office was totally disorganized was more  indication of the __ of the new manager and of the __ of the person  who had admired him.	indifference...consciousness	ignorance...diligence	incompetence...negligence	tolerance...infallible
840	a sore point = __.	a blister on a  foot	a matter that irritates or hurts when it is brought  up	an unpleasant situation that one has to deal with	"a very  dangerous crossroads, where many accidents"
841	She likes to sit on the balcony and __ what  goes on below.	look	gaze	glare	watch
842	"""Keep  __ the good work,"" the teacher told the students, ""and you'll all pass the  exam""."	on	up	with	to
843	__ he  joined the army my brother had never been abroad.	Since	While	During	Until
844	"If you want to join the  History Society, you must first __ this application form."	make up	write  down	fill in	do up
845	We haven't got __  furniture like theirs in our home.	a	some	the	any
846	The  librarian went to look in the cupboard __ rare books were kept.	which	where	that	there
847	Good teachers __  children to be kind to each other.	let	encourage	prevent	force
848	You'll __ yourself a lot of time if you take the car.	spend	make	save	spare
849	"He took out a(n)  __ to the ""Guardian""."	subscription	inscription	prescription	conscription
850	The government __ increase taxes soon.	may	need	ought	dare
851	He hit the vase  with his elbow and it __ to the floor.	crashed	smashed	broke	knocked
852	I absolutely  __ with everything that has been said.	agree	accept	admit	approve
853	"Poor Jack - he  lost his homework, and he __ do it again."	has got  to	needs	shall	ought
854	Students are not  __ to smoke in any of the classrooms.	let	allowed	accepted	approved
855	I  believe __ this town needs is a really super disco.	that	what	how	as
856	It's still not  __ that John is going to Ravenna tomorrow.	right	exact	certain	sure
857	"Even  though he was often cruel to his dog, it remained faithful __ him."	for	to	at	in
858	"She is so keen on  learning, you should encourage her __ her efforts."	to	for	in	on
859	The Bolshoi Ballet  Company __ London __.	has taken....by surprise	has taken....by  storm	has brought....down	has taken.....by art
860	There is an increasing __ nowadays to make films portraying violence.	trend	surge	direction	tradition
861	We felt sorry __ Sarah when she lost her  job at the chemist's.	with	about	for	to
862	It was very  difficult for the inspector to __ what the recommendations he should make.	realize	settle	solve	decide
863	She walked to the  __ of the swimming pool and jumped in.	start	side	extent	border
864	I thought I'd buy her a  __ brown bag.	shopping	black	new	French
865	The  policeman __ me the way.	told	said	explained	directed
866	He was  sent to prison for __ a bank.	borrowing	lending	robbing	stealing
867	I'm going to stay here  __ he phones and then I'll come and join you.	until	for	by	when
868	You can trust what he says.  He's a very __ person.	reliable	trustful	profitable	depending
869	They  haven't beaten me yet. I still have one or two __ up my sleeve.	traps	tricks	jokes	defences
870	"After dinner, the  President got up to __ a short speech."	make	provide	hold	tell
871	She was an __  writer because she persuaded many people to see the truth of her ideas.	accurate	ordinary	influential	unlimited
872	"-  Lucian: I'm most grateful to you for getting the doctor in time. - Miriam: If I  hadn't, I think you __."	might have died	could die	would  die	may have died
873	People who live in the cities __  to suffer from stress more than people in the countryside.	lean	develop	tend	use
874	He has provided  __ every emergency.	to	for	with	by
875	There was  a note attached __ the parcel.	at	with	on	to
876	Italian is a splendid  language __.	for singing in	to singing in	to sing in	for sing  in
877	I saw her __ the street.	crosses	crossed	to cross	cross
