ID	Content	A	B	C	D
251	Copper  is the favored metal for electricians' wire because of __.	it is an  excellent conductor	its excellent conductivity	excellent  conductivity of it	so conductive is it
252	"Before the  Angles and the Saxons __ to England, the Iberians had lived there."	coming	come	came	did come
253	A college  bookstore that sells used textbooks stocks __ along with the new ones on  the shelf under the course title.	its	their	a	them
254	"__ discovery of insulin, it was not possible to treat  diabetes."	Prior to the	Prior	The prior	To  prior
255	"Out of John Kenneth Galbraith's The Affluent Society  __ for an increase in public goods, potentially at the expense of private  goods."	came the argument	his argument	argued	the economist  is arguing
256	"The human body has four jugular veins, __ each  side of the neck."	there are two on	it has two on	two are on	two  on
257	"When __ of impulses from many of the neurons in one part  of the brain, an epileptic seizure occurs."	the  simultaneous bursts	simultaneously burst	there are  simultaneous bursts	simultaneously bursting
258	Aspirin  is used __ a constriction of the blood vessels.	the  counteraction	to counteract	counteract	counteracting
259	"__ gene in the human genome were more  completely understood, many human diseases could be cured or prevented."	Each	Since each	If each	Were each
260	Only after food has been dried or canned __.	that it should  be stored for later consumption	should be stored for later  consumption	should it be stored for later  consumption	it should be stored for later  consumption
261	"In __, the advent of the telephone,  radio, and telegraph has made rapid long-distance communication possible."	one hundred years  later	one hundred years ago	the one hundred years  since	the last one hundred years
262	__ people came to the  meeting than we had expected.	Fewer	Less	A little	Little
263	Art  lovers should read __ about what new paintings will be displayed.	noticeably	notices	notice	noticing
264	The committee has met and  __.	they have reached a dicision	it has formulated themselves some  opinions	its decision was reached at	it has reached a decision
265	The Cathedral of Seville enjoys the distinction __ the largest medieval  cathedral in the world.	of being	to be	being	it being
266	"Anthony  Burgess is not only a successful novelist, __ an expert linguist."	and  therefore	however	but also	and also
267	The Order of Elks  has been in existence __ 1868.	starting in	since	after	founded
268	One of the puzzles still  mystifying biologists is __ what to become in an embryo.	how do cells  know	how know cells	how cells know	how cells  knowing
269	The man gave __ a diamond necklace.	that is his  wife	his wife has	his wife	it to his wife
270	John has  not been able to recall where __.	does she  live	she lives	did she live	lived the  girl
271	Depressant drugs __ historically have been known to be  addictive are called narcotics.	and	which	they	about  which
272	"If Americans ate fewer foods with sugar and salt, their  general health __ better."	be	will be	is	would  be
273	"At Woolworth's first five-and-ten-cent store, __ more  than a dime."	neither items cost	items not cost	items none  costing	no item cost
274	"__ the end of the Ice Age around  8000 B.C., mammoths became extinct."	With	It was	That	In addition
275	"There are  two basic kinds of air compressors, reciprocating and __"	another kind  that is rotating	one that rotates	a rotating  kind	rotating
276	"Somerset Maugham, a novelist, __ about  a restless man's quest for inner understanding in The Razor's Edge."	who wrote  this	who wrote	when he wrote	wrote
277	"__, the jaguar used to roam freely in the southwestern United States."	It is now found  only in Central and South America	Now finding in Central and South  America	To be found in Central and South America	Now found only  in Central and South America
278	"When linguists encounter a new  language, __ work to identify all of the sounds it contains."	who	they	and	those
279	Air __ the  carbon dioxide necessary for photosynthesis enters leaves through tiny surface  openings.	contains	contained	containing	it  contains
280	George did not do well in the class because __.	he studied  bad	he was not good studywise	he was a badly  student	he failed to study properly
281	"In his autobiography, 'The education of Henry  Adams', Adams attempted to show that his generation __."	did not know how to live in a  technological society	did not know living in a technological  society	was not knowing how live in a technological society	had not known  living in a technological society
282	We all saw the athlete when he  __ the fastest mile ever run at the school.	run	running	ran	had run
283	The __wanted to  continue their tour even though the bus had broken down.	tourist	tourists  have	tourists	tourist had
284	"For the investor who  __ money, silver or bonds are good options."	has so little  a	has very little	has so few	has very few
285	"To  relieve pain caused by severe burns, prevent infection, and treat for shock,  __."	taking immediate steps	to take immediate steps	taken steps  immediately	take immediate steps
286	"Canada does not require that U.S.  citizens obtain passports to enter the country, and __."	Mexico does  neither	Mexico doesn't either	neither Mexico does	either does  Mexico
287	Flight nineteen from New York and Washington is now  arriving at __.	gate two	the gate two	the two gate	second  gate
288	Sesame __ a herbaceous plant native to the tropics.	is	which	from	it is
289	"A log grabber has a  long arm __, which stretches out to pick up logs."	calls a jib	calling a  jib	a jib called	called a jib
290	The families were  told to evacuate their houses immediately __.	at the time  when the water began to go up to	when the water began to  rise	when up was going the water	in the time when the water  raised
291	"__ the lip of an open-pit copper mine, the huge  tractors and cranes below look like toys, and people look like tiny ants  scurrying about."	Where	While	That	From
292	Double  stars orbit __.	each to the other	each other	each other  one	other each one
293	The bird's egg is such an efficient  structure for protecting the embryo inside __ difficult for the hatchling  to break.	that is	that	and is	that it is
294	"Besides rain, __ is seldom pure."	water  naturally	natural water	water of nature	the nature's  water
295	A dolphin __ a porpoise in that it has a longer nose.	different	differs	different than	differs from
296	"A symbol of the ancient competition, the Olympic flame burns __ throughout  the games."	in a continuous way	continuous	continuously	continual
297	"Although they are both  grown in the United States and exported abroad, corn is not native to America  and winter wheat __."	is neither	isn't either	isn't  neither	is either
298	"Although blood __ a residue in urine  and stool samples, it cannot always be detected without the aid of a microscope."	let	leave	leaves	lets
299	Prospectors rushed to Nevada in 1859 __ was discovered there.	after gold  soon	soon after gold	gold was soon after	they found  gold
300	__ the Christmas shopping season begins.	That is after  Thanksgiving	After Thanksgiving it is	It is after  Thanksgiving that	It is Thanksgiving that
301	That plant is __ big that it should  really be moved outside.	so	too	such	very
302	"Generally  speaking, people should have __ as their desires will allow."	much  education	as much education	education	for education
303	"__ strength of 70 horses, a forklift toils all day long in a warehouse  lifting great weights."	Because the	With the	Some	The
304	"Jan  Malzeliger's invention, the ""shoe-lasting"" machine, __ production but it  also cut the cost of shoe production by half."	not only  increased	not increased only	increased only	only have  increased
305	Goddard developed the first rocket to fly faster  __.	than sound is	does sound	sound	than  sound
306	Some students are frightened the university __ tuition  fees to meet the rise in the cost of living.	have raised	raise	raising	will raise
307	It is very difficult to  stop the cultivation of marijuana because __.	it grows very  carelessly	of it's growth without attention	it grows well with little  care	it doesn't care much to grow
308	Automobile production in  the United States __.	have taken slumps and rises in recent years	has been rather  erratic recently	has been erratically lately	are going up and  down all the time
309	On the slope of Long's Peak in Colorado __  the ruin of a gigantic tree.	that lies	lies	where lies	lie
310	__  that the English settled in Jamestown.	In 1607 that it  was	That in 1607	Because in 1607	It was in  1607
311	"Agronomists work to improve the quality of crops, increase  the yield of fields, and __ of the soil."	the quality is  maintained	maintain the quality	the maintenance  of the quality	maintaining the quality
312	Nitric  acid __ copper to give off brown fumes of nitrogen dioxide.	on reacting  with	reacting to	reacts with	is reacting  with
313	"Although the name was not popularized until the Middle Ages,  engineering __ civilization."	as old as	is as old  as	that is old as	as old as that
314	"Penguins, the  most highly specialized of all aquatic birds, may live __ twenty years."	before	since	for	from
315	A desert receives  less than twenty-five __ of rainfall every year.	centimeter	a centimeter	centimeters	of centimeters
316	Most beekeepers  have observed __ at the approach of a thunderstorm.	enraging the  bees	that bees become enraged	that bees enraging	become enraged  the bees
317	The jaw structure of a snake permits it to eat and  digest animals much larger than __ .	it	itself	its	it has
318	"When a woman  becomes pregnant __ in life, she encounters additional risks in delivering  a healthy baby."	lately	lateness	latest	late
319	__ of Country-Western singers may be related to old  English ballads.	The music	Music	Their music	Musics
320	The United States is __ that there are five time  zones.	much big	too big	so big	very  big
321	Vr.Duncan does not know__the lawn vower  after they had finished using it.	where did they put	where they did put	where they  put	where to put
322	The painting __ to the art museum  last week.	donated	donates	was donated	donating
323	"Because  she was feeling unwell, __ to miss the examination."	that she  wanted	the student she wanted	wanted	the student  wanted
324	"__ cheaper, Belinda would have bought it."	The notebook  computer	The notebook computer had been	Had the notebook computer  been	If the notebook computer is
325	The most noticeable feature  of African elephants __ their large ears being quite different from the  ears of Asian elephants.	is	with	are	were
326	Fred's  yearly income since he changed professions has __.	nearly  tripled	got almost three times bigger	almost grown by three  times	just about gone up three times
327	"Although the weather in  Martha's Vineyard isn't __ to have a year round tourist season, it has  become a favorite summer resort."	goodly enough	good enough	good as  enough	enough good
328	"Sound comes in waves, and the higher the  frequency, __."	higher is the pitch	the pitch is higher	the higher the  pitch	pitch is the higher
329	It was proposed by the new member  on the committee that membership fees __ reduced.	are	will  be	can be	be
330	Neither Jane nor her brothers  __a consent form for tomorrow's field trip.	need	needs	is needing	has need
331	Trace minerals are __ are elements needed in greater quantities.	as important to  healthy human tissue as	most important to healthy human  tissue	to healthy human tissue as important	important to healthy human  tissue
332	The manager was angry because somebody __	had allowed the  photographers to enter the building	had let the photographers to enter into  the building	permitting the photographers enter the  building	the photographers let into the building without the proper  documentations
333	Richard Nixon had been a lawyer and __  before he entered politics.	served in the Navy as an  officer	an officer in the Navy	the Navy had him as an  officer	did service in the Navy as an officer
334	The two main  __ are permanent magnets and electromagnets.	kinds of  magnets	kind of magnets	kind magnets	kinds magnets
335	There are many beautifully preserved historic buildings __.	in Beacon  Street in Boston	in Beacon Street at Boston	on Beacon  Street in Boston	at Beacon Street on Boston
336	"Clones, __ , are genetically homogeneous."	plant growing  from a single specimen	that a plant grown from a single  specimen	plants grown from a single specimen	"from a single specimen,  plants"
337	"Although research scientists had hoped that the new drug  interferon __ to be a cure for cancer, its applications now appear to be  more limited."	prove	had proven	would  prove	will prove
338	"__ his life, Eugene O'Neill was  regarded as the foremost American dramatist."	It was the time  of	While	During	By the time  of
339	"__ born, a baby kangaroo measures less than three inches  in length."	One is	When is one	Is one	When it  is
340	Electron storage rings __ in investigations of the  structure of materials.	they are used	that are used	used	are  used
341	"It is generally true that the lower the stock  market falls, __ ."	higher the price of gold rises	the price of gold rises  high	the higher the price of gold rises	rises high the price of  gold
342	"Because aluminum is lighter and cheaper __, it is  frequently used for high-tension power transmission."	as copper	than  copper	for copper	more copper
343	"Within an area of only  100 miles, Death Valley sinks to 282 feet below sea level while Mount Whitney  __ to a height of 14,494 feet."	soaring	soar	soared	soars
344	A good teaching technique for  __ students active is group work.	keeping	keep	to keep	kept
345	"Isaac Newton, __, made  his discoveries about gravity nearly 300 years ago."	he was an English scientist  and philosopher	being an English scientist and  philosopher	was an English scientist and philosopher	an English  scientist and philosopher
346	George would certainly have attended the  proceedings __.	if he didn't get the flat tire	if his flat tire hadn't  happened	had he not had a flat tire	had the tire not flattened  itself
347	Ancient civilizations such as the Phoenicians and the  Mesopotamians __ goods rather than use money.	use to trade	is used to  trade	used to trade	was used to trade
348	The television  programs we allow __ to watch influence their learning.	a children	our  children	our child	their childs
349	Helen Keller lost both  her sight and hearing after a severe illness __.	of her age in 19  months	she was 19 months old	when she was 19 months  old	when 19 months old she was
350	The most exact way known to  science __ the age of artifacts is based on the radioactivity of certain  minerals.	for to determine	for determine	for  determining	to determining
351	Studs Turkel has  used what he learned __ to produce taped oral histories of people and  events.	when was he a radio talk show host	he was a radio talk show  host when	when he was a radio talk show host	a radio talk show host when  he was
352	One of the least effective ways of storing information is  learning __ it.	how repeat	repeating	to repeat	repeat
353	The theory of Continental Drift assumes that there  __ long-term climatic changes in many areas during the past.	must have  been	must be	must have	must
354	Water is  __ that it generally contains dissolved materials in greater or lesser  amounts.	such an excellent solvent	such excellent a  solvent	such a excellent solvents	a such excellent solvent
355	"From 1926 until her death, Margaret Mead __ New York's American Museum  ofNatural History."	was associated with	associates with	is associated  with	associated
356	"""The Good Earth"", __, is a novel set  in China."	which by Pearl Buck	which was written by Pearl  Buck	was written by Pearl Buck	Pearl Buck being the one who wrote  it
357	In medieval times __ his enemy to fight by throwing down  his gauntlet.	the challenge	a man made a challenge	a man  challenged	his challenge
358	"Although most cats  hate to swim, __ if necessary."	can they do  so	so can they do	they do so can	they can do  so
359	Scientists believe that the beaver's instinct to build dams is  more complex than __ other animal instinct.	most	all	any	these
360	The president  usually __ unless his press secretary approves it.	doesn't do a  statement	doesn't make a statement	doesn't statement	no  statement
361	The fuel used in nuclear-powered ships is  usually uranium in either the metallic __.	as well as the oxide  form	but also the oxide form	or the oxide form	and the oxide  form
362	The bank manager advised him __ his savings into a time  deposit account.	put	to put	putting	will put
363	He  bought a __ on sale.	stereo complete system	system complete stereo	stereo system  complete	complete stereo system
364	She bought __ fruit  because so many people were coming to visit.	many	as  much	a lot	very much
365	Henry will not be able to  attend the meeting tonight because __.	he must to teach a  class	he will be teaching a class	of he will teach a  class	he will have teaching a class
366	The teachers have had  some problems deciding __.	when to the students they shall return the final  papers	when they are going to return to the students the final  papers	when they should return the final papers to the  students	the time when the final papers they should return for the  students
367	Violence on American campuses has abated __.	after 1970	in  1970	for 1970	since 1970
368	General Grant had  General Lee __ him at Appomattox to sign the official surrender of the  Confederate forces.	to meet	met	meet	meeting
369	People  usually can get a sufficient amount of the calcium their bodies __ from  the food they consume.	need	needs	needing	to need
370	Fast-food restaurants have become popular because many working people want  __	to eat quickly and cheaply	eating quickly and  cheaply	eat quickly and cheaply	the eat quickly and  cheaply
371	"Small microcomputers of today can process __ their  predecessors, which were twenty times their size."	in the same  amount of information	and have the same amount of  information	the information is the same  as	the same amount of information as
372	"There were two  small rooms in the beach house,__ served as a kitchen."	the smaller of  which	the smallest of which	the smaller of them	smallest of  that
373	"The bodies of living creatures are organized into many  different systems, each of which has __ function."	certainly	a certain	it is certainly	to be certain
374	One's fingerprints are __ .	different from those of any other  person	different from any other person	different any other  person	differs from another person
375	"__ of the United  States from southern New Hampshire in the north to Virginia in the south, a vast  urban region has been defined as a megalopolis, that is, a cluster of cities."	On the  northeastern seaboard	It is in the northeastern  seaboard	That the northeastern seaboard	At the northeastern  seaboard
376	Some plants are annuals; __ are biennials; the  rest are perennials.	some another	another	others	other
377	The giraffe survives in part because it __ the  vegetation in the high branches of trees where other animals have not grazed.	to  reach	can reach	reaching	reach
378	"By  praying outside saloons, throwing rocks in saloon windows, and destroying  saloons with her hatchet, __."	alcohol was  prohibited by Carrie Nation	Carrie Nation worked to prohibit  alcohol	prohibiting alcohol by Carrie Nation	Carrie Nation's work for the  prohibition of alcohol
379	Anthropologist Guy Swenson __ that  witchcraft beliefs are prevalent in societies in which social groups interact  without formal mechanisms for social control.	he  found	found	finding	was found
380	"When a body enters the earth's atmosphere, it travels __."	very  rapidly	in a rapid manner	fastly	with great speed
381	"__ Giant Ape Man, our biggest and  probably one of our first human ancestors, was just about the size of a male  gorilla."	It is believed that	That it is	That is  believed	That believing
382	"The strongest dump trucks work in rock  quarries, __ tons of rocks and soil at one time."	that they  move	they move	where they move	which they move
383	Poison oak generates irritating poisons __ even if people merely brush  against the plants.	they can affect people	that can affect people	what can effect  people	which do they affect
384	The mechanic told the car owner  that he should not __ the car over 50 miles per hour.	driving	drive	have drive	had driven
385	The commitee decided to  award __ a prize even though he didn't win.	he	him the  contestant	his contestant	the contestant
386	"__ the last  lunar eclipse lasting longer than any this century, we were able to try out our  new telescope."	While	In	During	As
387	"Since  Elizabeth Barrett Browning's father never approved of __ Robert Browning,  the couple eloped to Italy where they lived and wrote."	her to marry	her  marrying	she marrying	she to marry
388	Not until the  mid-nineteenth century __ achieve recognition.	had El Greco's  work	did El Greco's work	El Greco's work	El Greco's work  did
389	"__ their territories but rather than fight, they howl."	Wolves  protectively jealous	Jealous of wolves	Protection of  wolves	Wolves jealously protect
390	The TOEFL examination  __ by the year 2000.	completely revised	is revised completely	is to be  revised completely	completely is to revise
391	Henry  Ford revolutionized production management by __ into small steps on a  moving line.	breaking down auto assembly	broken down auto  assembly	he broke down auto assembly	auto assembly breaking  down
392	Unemployment compensation is money to support an unemployed  person while he or she is looking for __ .	job	a job	works	a work
393	Many chemicals  react __ in acid solutions.	more quick	more  quickly	quicklier	as quickly more
394	"When Jacqueline  Kennedy was first lady, she collected many beautiful antiques and __ them  among the original pieces in the White House."	sat	set	sit	sits
395	"Of all the cities  in Texas, __."	that San Antonio is probably the most picturesque	San Antonio is  probably the most picturesque	probably San Antonio the most  picturesque	the most picturesque probably that San  Antonio
396	__ peaches are classified as freestone or  clingstone depends on how difficult it is to remove the pit.	The	About	Whether	Scientifically
397	The gila monster is __ poisonous lizards  found in North America.	few	the one	one of the  few	of the one few
398	__ cockroach is the pest most in  need of eradication is generally agreed upon by housing authorities everywhere.	When  the	It is the	That the	The
399	The  flamingo uses its bill __ feeding to filter mud and water from the tiny  plants and animals it finds in shallow ponds.	when	is	that it is	was
400	Researchers have recently confirmed __ Pygmies are missing an insulinlike  growth factor.	and that	so that	because	that
401	"__, the Mauritius parakeet, and the  Japanese crested ibis are among (the most endangered of the world's birds."	Including the  Marianas mallard	Being the Marianas mallard	There are the  Marianas mallard	The Marianas mallard
402	The boy was  ashamed __ he had broken the window.	admit	admitted	to admit	admitting
403	She said she didn't like  __.	shopping	shop	to shopping	when shopping
404	"Into the Bermuda Triangle __, never to be seen again."	the ship  sailed	the sailing ship	to sail the ship	sailed the ship
405	Nobody really knew the __ solution to the problem.	better	good	best	better than
406	"After the funeral, the  residents of the apartment building __."	sent faithfully flowers all  weeks to the cemetery	sent to the cemetery each week flowers  faithfully	sent flowers faithfully to the cemetery each week	sent each week  faithfully to the cemetery flowers
407	The student like that  professor's course because __.	there was a few if any  homework	not a lot of homework	of there wasn't a great amount of  homework	there was little or no homework
408	To answer accurately is  more important than __.	a quick finish	to finish quickly	finishing  quickly	you finish quickly
409	"An advisor to both Franklin Delano  Roosevelt and Harry Truman, __ of Bethune-Cookman College."	Dr. Mary Mcleod Bethune was  the founder	"Dr. Mary Mcleod Bethune, who was the founder"	the founder was  Dr. Mary Mcleod Bethune	did the founder Dr. Mary Mcleod  Bethune
410	"By observing REM, or rapid eye movements, __ to  know when dreaming occurs during sleep."	it is the  possibility	is the possibility	it is  possible	then is possible
411	__ up to seven months.	Lasting New  England winters	New England winters can last	Because a New  England winter can last	The length of a New England  winter
412	"__, he would have been able to pass the exam."	If studied  more	IF he were studying to a greater degree	Studying  more	Had he studied more
413	It is important that the TOEFL  Office __ an applicant's registration.	will  confirm	confirm	confirms	must confirm
414	A good team __ of both recruiting and coaching as well as performing.	are a  result	it is a result	resulting	result it
415	The  first transistor was basically a small chip made of germanium onto one surface  of which two pointed wire contacts __ side by side.	are  made	made	were made	making
416	Ladybugs are brightly colored beetles that help farmers by __.	eat other  insects	to eat other insects	eating other insects	other insect's  eating
417	"To check for acidity, one had better __ litmus  paper."	use	using	to use	useful
418	A  thermometer is an instrument that __ temperature.	the  heat	having	does not	measures
419	__ cause extensive damage to Pacific Island nations each year.	Because of the  high tides and winds during hurricanes	The high tides and winds of  hurricanes	The high hurricane tides and winds  which	That the high tides and winds of hurricanes
420	"__  two waves pass a given point simultaneously, they will have no effect on each  other's subsequent motion."	So that	They are	That	If
421	George belongs to the __	class of the upper  middle	upper middle class	class from the center up	high medium  class
422	"Alice Freeman, __ to head Wellesley College at age 27,  is one of the youngest college presidents in history."	who was  appointed	has been appointed	that is appointed	is appointed
423	It  is only recently that ballets have been based on themes __ American life.	reflecting	reflects	is reflecting	reflected
424	"Cellulose, which __ for making paper, can be found in all plants."	is used	uses	are used	is using
425	"__ children master  the basics, advanced development becomes easier."	The	Once	That	Even
426	The final examination was  cancelled __.	although there was only one day to go.	there was only one day to  go.	only one day to go.	one day to go.
427	The chairman  requested that __.	the members studied more carefully the problem	the problem was  more carefulnessly studied	with more carefulness the problem could be  studied	the members study the problem more carefully
428	The  saturated fat in dairy foods is thought __ a factor in heart disease.	it  is	to be	they are	as being
429	__ problems  in sailing in tropical seas is the coral reefs.	One of the  biggest	The biggest one	Of the biggest one	There are the  biggest
430	The bombardier beetle gets its name because __ its  prey with caustic liquid.	shooting	of it shoots	it shoots	to  shoot
431	__ discussion of group personality would be complete  without a consideration of national character.	None	Not	No	Nothing
432	He gave  __.	to the clas s a tough assignment	the class a tough  assignments	a tough assignment for the  class	an assignment very tough to the classt
433	__ in  the world export diamonds.	Only little nations	Only few nations	Only a little  nations	Only a few nations
434	The lights and appliances in most  homes use alternating current __.	instead direct  current	instead of direct current	that instead direct  current	for direct current instead
435	"Before Alexander Fleming  discovered penicillin, many people died __."	infected with  simple bacteria	from simple bacterial  infections	infections were simple  bacteria	infecting of simple bacteria
436	"__ under Chief  Tecumseh, the Shawnees lost most of their lands to whites and were moved into  territories."	In spite of resistance	In spite resistance	Spite of  resistance	Spite resistance
437	People who have  very little technical background have __ to understand computer language.	learn	learning	learned	learns
438	It is  the recommendation of many psychologists __ to associate words and  remember names.	that a learner uses mental images	a learner to use mental  images	mental images are used	that a learner use mental  images
439	A bat will often spend the daylight hours __ upside  down in a tree or cave.	hanging	which hangs	that is	hangs
440	"David Bushnell, of Yale, __ a submarine in 1775."	has  built	built	he built	has built
441	A vacuum will neither conduct heat nor  __.	transmit sound waves	transmitting sound waves	sound waves are  transmitted	the transmission of sound waves
442	Ernest Hemingway is  __ of modern fiction.	one of the molders	the molders one	who is one of the  molders	the molders who is the one
443	Your new car __ as  well as speedy.	looks comfortable	comfortably looks	looks  comfortably	looks is comfortable
444	A major problem in the  construction of new buildings __.	is that windows have been  eliminated while air conditioning systems have not been  perfected	is they have eliminates windows and still don't have good air  conditioning	is because windows are eliminated but air  conditioners don't work good	"is dependent on the fact that while they have  eliminated windows, they are not capable to produce efficient air conditioning  system"
445	__ received law degrees as today.	Never so many women  have	Never have so many women	The women aren't ever	Women who have  never
446	Many embarrassing situations occur __ a  misunderstanding.	for	of	because of	because
447	Put  plants __ a window so that they will get enough light.	near to	near  of	next to	nearly
448	A computer is usually chosen  because of its simplicity of operation and ease of maintenance __ its  capacity to store information.	the same as	the same	as well as	as well
449	__  is no way to tell the exact number of heroin addicts in the United States.	It	There	What	Each
450	Today's typewriter  keyboard is __ Shole's 1867 keyboard.	as same  as	the same as	the same than	a same one as
451	Spectrographs __ possible for phoneticians to analyze the human voice and  its speech qualities.	make	make it	makes it	are  made
452	The seed heads of teasel plants raise the nap on coarse  tweed cloth __ than do the machine tools invented to replace them.	more  efficiently	efficiently	more  efficient	most efficient
453	It is generally believed that an  M.B.A. degree is good preparation for a career in __.	a  business	business	businesses	one business
454	"Like humans, zoo animals must have a dentist __ their teeth."	fill	filled	filling	to be filled
455	"Thor Heyerdahl, accompanied by the crew of the ""Kon Tiki"", __ in order to  provehis theories of cultural diffusion."	have sailed  specifically charted courses	sailing specifically charted  courses	has sailed specifically charted courses	they sail  specifically charted courses
456	Psychologists believe that  incentives __ to increase our productivity.	make us  want	make us to want	making us want	makes us  wanting
457	"The blue whale is __ known animal, reaching a  length of more than one hundred feet."	the  large	the larger	the largest	most largest
458	Strauss finished __ two of his published compositions before his tenth  birthday.	written	write	to write	writing
459	A  dividend is __ the only benefit a corporation can offer its shareholders.	no	nor	none	not
460	Deserts produce less  than 0.5 grams of plant growth __ from every square yard.	the  day	some day	one day	a day
461	The artistic medium of clay is __ that  images have been found near the remains of fires from the last Ice Age.	so old	such an  old	oldest	old
462	So far there is no vaccine  __ in sight for the common cold.	or curing	has  cured	or cure	having cured
463	"Children just love  computer games, __ many adults."	as do	so	do	not
464	"She wanted to served some  coffee to her guests; however, __."	she hadn't many  sugar	there was not a great amount of the sugar	she did not have  much sugar	she was lacking in amount of the sugar
465	"When friends  insist on __ expensive gifts, it makes most Americans uncomfortable."	them to  accept	their accepting	they accepting	they accept
466	"Most  foreign students don't like American coffee, and __."	I don't too	either don't  I	neither don't I	neither do I
467	"Burrowing animals  provide paths for water in soil, and so do the roots of plants __."	decaying and they  dying	when they die and decay	they die and decay	when they will die  and decay
468	"Bees __ display distinct preferences for different  colors, but are also sensitive to ultra-violet light."	only	not  only	only do	can only
469	In the west the birth of a  girl is welcomed with an enthusiam __ to that of a boy.	equally	equal	they are equal	and equal
470	"Although most adopted  persons want to know who their natural parents are, some who have found them  wish that they __ the experience of meeting."	hadn't	didn't have had	hadn't had	hadn't have
471	"__ through a telescope, Venus appears to go through changes in size and  shape."	It is seen	Seeing	When seen	It has  seen
472	Sports medicine experts agree that ice should be applied  immediately when an athlete suffers an injury to __ leg.	its	an	the	his
473	"Unless protected  areas are established, the Bengal tiger, the blue whale, and the California  condor face __ of extinction."	possible	the possibility	to be possible	possibly
474	A  communications satellite orbits the earth at the same rate that the earth  revolves __ over a fixed point on the surface.	so it can  remain	so that it can remain	it can remain	so can  remain
475	__ is not a new idea.	The planning of  cities	Cities to plan them	Plan cities	To planning  cities
476	Many modern architects insist on __ materials native  to the region that will blend into the surrounding landscape.	use	to use	the use	using
477	__ were first viewed through a telescope by Galileo.	Jupiter has  four moons	Jupiter's four moons	Jupiter  surrounded by four moons	"Surrounded by four moons,  Jupiter"
478	In 1885 photography changed dramatically __  introduced paper-based film.	Eastman	when was	when it  was	when Eastman
479	Before __ Stephen A. Douglas took  part in a series of debates with Lincoln on the slavery issue.	the Civil  War	the Civil War was	the Civil War with	it happened  that the Civil War
480	The rabbit scurried away in fright __	when it heard  the movement in the bushes	the movement among the bushes having been  heard	after it was hearing moving inside of the bushes	when he was  heard that something moved in the bushes
481	__ thirteen states in the original  United States.	As there were	There were	Were	So  were
482	"Tuna, __, may weigh up to 1,000 pounds."	is the sea  giant	can be giants of the sea	one of the sea giants	the sea of the  giant
483	__ there is a close correlation between stress and  illness.	Some psychologists believe	Believed some  psychologists	Some psychologists to believe	Some psychologists  believing
484	__ is often used in soups and sauces.	"Parsley, an inexpensive  herb,"	Parsley is an inexpensive herb	"Inexpensive parsley,  herb"	"An herb is inexpensive parsley,"
485	"__, common weedy  plants with many-rayed yellow flowers, are more popular among children than  among adults."	Known as dandelions	Dandelions	In summer	Which are  dandelions
486	One of the professor's greatest attributes is __.	when he gives  lectures	how in the manner that he lectures	the way to give  lectures	his ability to lecture
487	__ four major  championships on the professional golf tour.	They are	The	In all	There are
488	Progressive farmers use  several methods to prevent top soil __.	from running  off	to run off	from to run off	to running off
489	"America's first globe maker was James Wilson, who __ and blacksmith in his  earlier life."	a farmer had been	had been a farmer	farming	being a  farmer
490	Albert Szent-Gyorgyi __ the 1937 Nobel Prize for  medicine for his synthesis of ascorbic acid.	was  awarded	to award	awarded	awarding
491	__ Social Security Act of 1935 was written to insure workers against  unemployment.	The	What the	For the	After  the
492	The more she worked __.	the less she  achieved	she achieved not enough	she did not achieve  enough	she was achieving less
493	"Having been selected to  represent the Association of American Engineers at the International Convention,  __."	the members applauded him	he gave a short acceptance  speech	a speech had to be given by him	the members congratulated  him
494	The decomposition of microscopic animals at the bottom of the  sea results in an accumulation of __ in porous rocks.	the  oil	oil	an oil	oils
495	"A  perennial is __ for more than two years, such as trees and shrubs."	any plant that  it continues to grow	any plant it continuing to  grow	any plant that continues to grow	any plant continuing  growth
496	Hybrids have one more __ per plant than the other  varieties.	corns	ear of corn	corn ears	corn's  ears
497	Less moderate members of Congress are insisting that changes  in the social security system __ made.	will	are	being	be
498	The javelin used in  competition must be between 260 and 270 centimeters __	in  length	it is long	whose length	lengthily
499	"The  closer to one of the earth's poles, the greater __ gravitational force."	is	the	has	it has
500	Pigs __  certain characteristics with human beings.	freshmen  permitted	freshmen are permitted	are freshmen  permitted	are permitted freshmen
501	Fire-resistant materials are used to retard  __ of modern aircraft in case of accidents.	a damage to the passenger  cabin	that damages to the passenger cabin	damage to the passenger  cabin	passenger cabin's damages
502	"Because the United States  does not have much oil anymore, imported oil __ used more and more."	will	to  be	must	is being
503	The FDA was set up in 1940  __ that maintain standards for the sale of food and drugs.	to enforce the  laws	to enforcing the laws	enforcing laws	enforced the  laws
504	If a ruby is heated it __ temporarily lose its color.	would	will	does	has
505	"Robots are being used  increasingly in industry as they can work on large jobs faster, are more precise  and __."	don't as easily tire	don't tire more easily	don't tire  easily	don't too easily tire
506	The algebra of sets __  Boolean algebra.	is called	which is called	known as	called
507	That magnificent __ temple was constructed by the  Chinese.	eight-centuries-old	eight-century's-old	old-eight-centuries	eight-century-old
508	"__ the  formation of the Sun, the planets, and other stars began with the condensation  of an interstellar cloud."	It accepted that	Accepted that	It is accepted  that	That is accepted
509	__ in Shanghai than in any other  city in China.	More people live	More people living	It has more  people	More living people
