Type	Content	A	B	C	D
375	"When  the house is not occupied, it is __."	rented	timid	valueless	vacant
376	I  __ swim in this river when I was young.	used  to	am use to	use to	am used to
377	My  mother got home __ ago.	a half an hour	an hour's  half	half an hour	a half hour
378	Give me the message  to __ is at the desk!	that	what	whomever	whoever
379	In a week's time you __ in Boston for a year.	are  living	have lived	had lived	will have been  living
380	"- Are you leaving? - Yes, but I wish I __ to go."	didn't  have	will not have	don't have	may not have
381	When you are riding a bicycle you should __  the handlebars firmly.	handle	hold	hand	have
382	"If we are  thinking of having a day in the country, I should like to listen to the weather  __."	statement	spell	forecast	recording
383	"I  bought a single ticket only on the bus, but my friend bought a __ one."	double	new	second	return
384	How much would you  __ for repairing my watch?	charge	cost	pay	spend
385	They  __ their examinations at the end of the next month.	take	took	takes	are going to take
386	"It took years of  research, but __ they found the answer."	at the end	in the  end	last	lastly
387	"July 10th is my wedding  anniversary. Next month, my husband and I will __ for twenty years."	merry	have  married	be married	have been married
388	Tommy had his big  brother __ his shoes for him.	to tie	tie	tied	tying
389	Bill came to work at the  University thirty years __ today.	since	before	from	ago
390	We can become frustrated by a  legal system when judges __.	fall asleep	are  impartial	appear uninterested	become very interested.
391	"Don't worry about trying to catch the last train home, as we can easily __  you up for the night."	take	put	set	keep
392	The  whole story is made up. It's nothing but a __ of lies.	tissue	good	business	teeth
393	Helen  is expert __ drafting the minutes of a meeting.	with	in	at	for
394	Football is a  subject I know very __ of.	few	a few	little	a  little
395	Her landlord gave her two month's __ to quit.	warn	note	notice	allowance
396	The  weather was __ that we didn't go out.	very  bad	such bad	so bad	too bad
397	Our  plane will arrive __ Don Muang at noon.	in	at	to	-
398	His office is only  __ away.	stone throw	a stone throw	stone's  throw	a stone's throw
399	"__ in ill-fitting clothes, he  smiled a warm welcome."	Dress	Dressing	Dressed	Being  dressed
400	"The crictic must have detested the play, for the review  was not merely __, it was __."	laudatory ...  enthusiatic	sincere ... long	appreciative ...  stinging	critical ... scathing
401	I'm sorry I __ your party: I was away at  the time.	lost	failed	passed	missed
402	The  workmen made so much __ that Mrs Walker had to spend three days cleaning  up afterwards.	trouble	damage	mess	nuisance
403	"After  the game, the referee was interviewed __ television."	at	on	in	to
404	He thanked me for what I  __ the previous week.	have done	had done	did	was doing
405	__ going to the party.	Everybody are	Every people is	Every people  are	Everyone is
406	Something extremely strange __  yesterday while we were out jogging.	was happened	happened	has been happening	has happened
407	His English teacher  recommends that he __ a regular degree program.	begin	begins	will begin	is beginning
408	How much snow __  now?	it  is	is it	there is	is there
409	When she was  crossing the room the night-nurse happened to notice the old lady __ to  get out of bed.	has tried	to try	trying	tried
410	This  morning the postman was __ down the street by my dog.	hunted	chased	run	sped
411	The way he never  listens to me really gets __ my nerves.	up	in	on	with
412	His speech was not  appropriate __ the occasion.	of	to	with	for
413	Her parents were very __ because she was out so late  that night.	responsible	sorry	worried	overcome
414	"If  it __, the match will be postponed."	rains	will rain	has rained	is raining
415	-  You look very tired. - I __ papers all day.	have been  marking	had been marking	am marking	had marked
416	When the boy __ the car he was badly injured.	is hit  by	was hit by	hit	was hitting
417	Monkeys  belong to the group of animals __ as primates.	know	knowing	known	to know
418	"When you do a  favour for someone, don't expect anything __."	in  return	instead	in place	in recompense
419	"Since your roommate is visiting her family this weekend, __ you like to  have dinner with us tonight?"	will	won't	do	wouldn't
420	How long __ French?	do you  study	have you studied	did you studied	you have studied
421	He doesn't work now. He's __ 65.	at	in	over	for
422	Please hurry or you will be  late __ school.	to	for	in	at
423	"The cow had  lost its own calf, but the farmer persuaded it to __ one whose mother had  died."	choose	adopt	undertake	collect
424	What's  wrong with John? He __ used to be so sad.	never	didn't	wasn't	isn't
425	I'm afraid I've got __  my bank as soon as possible.	go	to go	to go to	going
426	Tomorrow  he will come __ home late.	-	to	at	to the
427	Ouch! I  __ my thumb!	have cut	am to cut	had cut	had been  cut
428	"By then I __ my driving test, I hope."	pass	will have  passed	will be passed	have passed
429	I hadn't expected James  to apologize but I had hoped __.	him calling  me	that he would call me	him to call me	that he call  me
430	Our host family always invites my roommate and __ to  their house on Sundays.	me	my	I	mine
431	He was  dealt such a severe blow __ stunned for several minutes.	which caused  him to be	that he was	because of which he was	so as to make  him
432	You will become ill __ you stop working so hard.	until	when	unless	if
433	I don't  think that red dress __ her.	suits	matches	cheers	agrees
434	Take this road and you will __ at the hotel in five  minutes.	arrive	come	find	reach
435	Could  you please tell me if you have any electric typewriters __?	in  store	in order	in supply	in stock
436	I  wouldn't believe what she says. She sounds very convincing but she's just a fast  __.	talker	eyes	one	ride
437	"Mr  Johnson, candidate for governor, was eulogized for his __."	honesty and  courage	being honest and his loyalty	strength and also what he  did	wealth and excitement
438	Don't touch that wire or you  may get an electric __.	shock	current	attack	feeling
439	A person who says things that are not true is a __.	liar	drunkard	tailor	patient
440	"No  matter how hard I tried, he kept on __."	complaining	complain	to  complain	complained
441	Can you see the woman __ the right?	of	off	on	over
442	I still have __ time to  spare.	much	a bit	some	any
443	"The country  has a system of __, most of which date from the nineteenth century."	watercourses	canals	rivers	streams
444	I had quite __ on my  way to work this morning.	an experiment	an adventure	a happening	an  affair
445	I think he should __ a room in one of the hotels.	book	to book	booked	booking
446	Would you mind  __ the window?	open	to open	opening	not to open
447	Jack  __ me anything about his holiday plans so far.	hasn't told	didn't  tell	doesn't tell	don't tell
448	I'm very tired - I  __ all morning.	work	was worked	am working	have been  working
449	I'd like to know what you do for __.	a job	work	a profession	a living
450	Alex didn't come to see  the film last night because he __ it before.	saw	had seen	has seen	was seen
451	I  __ bacon and eggs every morning.	am used to  eat	used to eating	am used to eating	use to  eat
452	"If Bob __ with us, he would have had a good time."	would  come	would have come	had come	came
453	I always  put my best __ in a safe-deposit box.	jewelries	jewelry's pieces	pieces of jewelry	piece of  jewelries
454	The only way to get __ in this company is to work  hard and make no mistakes.	on	up	with	into
455	"""There  are __ leftovers for you in the fridge"", she cried out."	few	a few	little	a little
456	He  is a good student. He always __ his hand.	rises	raises	arises	risen
457	"- What  will we do today? - Let's go for a walk, __?"	do  you	shall we	do we	don't you
458	"Human beings,  as distinct from __ animals, can think for themselves."	another	other	others	the others
459	The temple is only __ drive from the station.	few  minute	few minutes	a few minute	a few minutes
460	"Elementary school children, who have not yet been repeatedly disappointed by  other people, are much more __ than older and more cynical high school  students."	inquisitive	relaxed	enjoyable	trusting
