ID	Content	A	B	C	D
421	This car is __ for us to buy. We are not  that rich.	expensive enough	very expensive	too  expensive	more expensive
422	Put __ money in your pocket!	this	those	there	these
423	I went to Madrid and  stayed __ friends.	in house of	by	at	with
424	"I told them  about it, but __ listened."	somebody	anybody	nobody	anyone
425	I won't  let you __ there.	to go	go	going	go to
426	"We live in  Brighton, England. __ house is on High Street."	Our	We	His	Their
427	__ walkman is yellow.	Her	You	She	He
428	Why do you __ pass  you the map?	want me	want to me	to want me	want me  to
429	__ means has been considered.	All	Both	All the	Every
430	Those interested in the post  of Assistant Manager are requested to apply __.	as a  person	in person	as persons	by person
431	You  can stay here __ you don't make a loud noise.	otherwise	until	unless	so long as
432	The final __ of the play will take place on Saturday.	action	performance	view	sight
433	Famine occurs when  all the people in an area have hardly __ food.	not	no	ever	any
434	"The disease __  widely, all over the country."	sprang	sped	spread	spilt
435	"When I see Barbara in the street, she always  __ at me."	smiled	has smiled	was  smiling	smiles
436	We visited a college __ in 1980.	find	found	founded	was founded
437	-  Who should go to see him? - I suggest that Mary __ to see him.	go	goes	would go	went
438	We are  too late. The plane __ off ten minutes ago.	took	has taken	had taken	was taken
439	"I  can't help you, and he can't help you __."	neither	too	also	either
440	"Your friends  won't be here for long, __?"	do they	will they	would  they	won't they
441	What's __ the radio this morning?	about	at	on	with
442	What's her job? __  nurse.	She's	She's a	Her jobs	Hers a
443	Some  people __ eat meat.	do never	ever	don't ever	never
444	I can wear  the blue socks or the __.	greys	grey ones	my grey ones	grey  one
445	How __?	much tall are you	tall you are	you are tall	tall are  you
446	Where __ been?	is he	did  he	he's	has he
447	Close the door __:  it's cold in here.	-	up	to	on
448	Where  __ last night?	did you go	have you been	are you gone	were you  been
449	Betty's little sister __ some very nice dresses.	have	has	is	are
450	Mary and Jane __ to the  Film Society every Saturday.	have gone	go	goes	is going
451	My sister won __ money in the lottery.	much	a big	many	a lot of
452	I __ the  Prime Minister's speech very carefully.	heard  to	heard	listened to	overheard.
453	__ Bert got a rope?	Have	Can	His	Has
454	"- Let's  go to the new movie down town - Thanks, but I __ it already."	have  seen	was seeing	had seen	had see
455	"__ exhibitions are like huge market places for the sale of goods, and  these are often called trade fairs."	Most  of	A great many	A great deal of	Many of
456	Is  there any interesting __ in the paper?	new	news	pieces of news	piece of news
457	__ a flat with someone is cheaper than living in your own.	Deviding	Sharing	Cutting	Parting
458	Mr  Brown is the landlord __ we rent the house.	who	whom	from who	from whom
459	Don't __ slowly.	walks	walk	to walk	walking
460	The  police haven't yet found the car __ was in the accident.	which	which it	it which	it
461	Please have __ cup of tea.	an other	a  other	other	another
462	Janet and I __ good  friends.	am	are	is	it's
463	We __  understand this.	can't	don't can	not can	don't able  to
464	Let's __ John.	go and see	go  for	go for see	go seeing
465	"__ me the time,  please?"	Can you telling	Do you can tell	Can you tell	Are you able for  telling
466	Ask the girl __ sitting over there.	who's	whose	which is	which she is
467	Which cinema __?	do you want to go  to	do you want to go to it	you want to go to	do you want to  go
468	I don't know John. Do you know __?	her	him	them	me
469	"They've got three children, but  I can't remember __ names."	its	them	there	their
470	TV  programmes and records usually __ singers very popular.	makes	making	make	is making
471	You must  __ your work as soon as possible.	started	start	to start	to start to
472	This man has a __.	beard	barber	moustaches	facehair
473	You arrive at a party at 8 p.m. What do you say?. =  __	Goodnight	Good-bye	Good  evening	Good afternoon
474	__ TV last night?	Did he  watch	Watched he	Did he watched	Does he watch
475	Laura got a __ new stereo for Christmas.	young	kind	feel	brand
476	__ usually  have boiled rice for breakfast?	Are you	Have you	Do  you	Had you
477	I'm a sharp cookie. There's no way anybody  can pull the wool over my __.	tissue	eyes	truth	grass
478	He was __ of  all his money.	stolen	robbed	removed	taken
479	How long __ here by the end of next year?	will you  work	you will have worked	are you working	will have you  been working
480	__ books are on the desk.	Their	There	Theirs	They's
481	I live about twenty km __ here.	away of	away  from	away for	near
482	He spends __ time  sleeping.	all	all his	his all	the all of his
483	Don't talk to me now because I __ to understand what I am reading.	to try	try	am trying	trying
484	When do you usually arrive  __ the office?	-	to	on	at
485	He used to  live __ London.	on	in	to	at
486	- A: Have you  got a lighter? - B: __.	"Yes, I have"	"Yes, I have got"	That's all  right	"Yes, I has"
487	Does Lisa __ computers?	like	drive	read	hope
488	__ class rushed into the  dining room.	The all	Whole	The every	The whole
489	We  hire out bicycle __.	by hours	by an hour	by the hour	for  hours
490	The motorcar has had an enormous effect __ in North  America.	in daily life	in daily lives	on daily  life	to daily life
491	I don't think we are on the right road.  We __ some one.	had better ask	should better ask	had better  asked	have better ask
492	- Is this parttern important? - It's  __ to study well.	that important	very important	too  important	important enough
493	"He owes you a lot of money,  __?"	isn't it	doesn't he	hasn't he	has  he
494	__ while the iron is hot.	Hit	Knock	Strike	Beat
495	The  fewer bags you take __ trouble you will have.	the  fewer	the little	the less	the least
496	He  treats all his children __.	like	same	alike	similar
497	"You had your house repaired last month, __?"	hadn't  you	didn't you	isn't it	hadn't it
498	He  is looking forward to __ his old friends.	meet	have met	meeting	met
499	They were  walking on tiptoe __ the Director's room.	pass	passed	past	pasted
500	Thursday is the  __ day of the week.	five	fivth	fiveth	fifth
501	I'm expecting __ an answer to my letter.	of	for	to	-
502	They __ married in  church last year.	are	made	have	got
503	- I haven't  got anything for you. - __!	Never mind	It isn't the matter	Nothing	Not  problem
504	I often spend two hours __ my homework.	for do	doing	to do	for doing
505	- What does Julia do? -  She's __ nurse in a big hospital.	one	-	a	an
506	Give it to __. It's my  pencil.	I	me	my	mine
507	I don't  think he __ flowers very much.	like	liking	have liked	likes
508	I __ him today yet.	hasn't  met	am not meeting	haven't met	didn't meet
509	Where __ my pen?	is	it	it's	is it
510	He has a  __ experience of marketing in Europe.	grand	wide	large	great
511	Have you read  __ paper?	today	today's	of today	in  today
512	"- David has lived in Peru for ten years. - Yes, but he  __ doesn't understand Spanish."	already	yet	still	anymore
513	- I'll come home  to give you the package at nine. - That will be too late because we __ by  that hour.	have gone	will have gone	will go	went
514	The development of new crop strains __ greatly  increased yields.	is	are	has	have
515	She  often wishes that she __ a bicycle.	can  rode	can ride	could ride	could rode
516	They went from one shop to __.	each  other	other	the rest	another
517	Two  of the boys in the art class were doing self-portraits by looking at __ in  the mirror.	each other	themselves	oneself	one  another
518	Our people began this flight __ 1973.	from	at	since	in
519	One of the windows of  my car is very hard __.	open	to open	opened	opener
520	"The woman said, ""Yes, I'll buy that one. It's __  me."""	too good to	too good for	good enough  to	good enough for
521	Bill and __ sisters live in London.	her	his	their	he's
522	John __ her yesterday.	don't  saw	didn't see	didn't saw	don't see
523	What  __?	"does ""mix"" mean"	"means ""mix"""	"it means  ""mix"""	"is the meaning from ""mix"""
524	- Tell me what your dog's  like? - __.	Very quickly	"Big, black and hairy"	"Very well, thank  you"	Biscuits
525	- I am the new receptionist. - __.	Your  servant	How do you do?	Not at all	I'm happy to know  you
526	We know him and he knows __.	we	their	us	he
527	This is for John and __  are for Mary.	there	this	that	those
528	The last  Olympic Games __ in Barcelona.	were helded	was  holded	were held	were hold
529	War stole his youth and  his home. Everything in his life changed __.	as a result	moreover	by no means	therefore
530	"Time is short, and the  secretaries are typing __."	with a pressure	under  pressure	under the pressure	to pressure
531	In China an ancient  medical treatment __ as acupuncture is sometimes used during surgery.	to  know	knowing	known	knows
532	"- Do you have any  pets? - Yes, I have __ kittens."	two small  black	small two black	two black small	black small  two
533	"- What did you want to talk about, Bill? - I'm considering  __ home."	go	going	to go	about going
534	The nations of the world desire __.	peace	a peace	piece	a piece
535	This is the best  play __ I have ever seen.	where	what	which	that
536	Listen! The telephone __.	ring	rings	is ringing	ringing
537	Is  any one __ to fish in this river?	born	let	allowed	passed
538	There  may be as __ as six guests to dinner.	much	many	many more	very many
539	I  have __ wheel in the back of my car.	other	others	the other	another
540	"It's  an hour since he __, so he must be at the office now."	is  leaving	was leaving	has left	left
541	- Is this your handbag? - __?	Isn't it	Forgive  me	My what	Please
542	- Can I have a piece of  cake? - You can have __.	all it	all of it	all	the all of  it
543	- Do you like tea? - __.	Much	"Yes, I  do"	Is so	That's all right
544	We were happy  __ them.	to seeing	for see	to see	she see
545	There  are no apples left: we've eaten __.	everyone	every  one	all	whole
546	John and Mary are here.  __ are my friends.	He	We	You	They
547	"This book  belongs to me, and this pen is __, too."	his	me	my	mine
548	Can you __ it for me?	to  do	did	done	do
549	Kate and I are students.  __ go to the Seven Dials School in Brighton.	They	You	She	We
550	If students want a certificate  __ have to pass the final examination.	she	they	you	their
551	They forced us  __ their invitation.	accept	accepting	accepted	to  accept
552	I had my younger brother __ the newspaper to me  while I was abroad.	to send	sent	send	sending
553	All  work is better than __ at all.	no	none	not	some
554	"If we __ the  plan you suggest, we are more likely to be successful."	decide	elect	vote	adopt
555	They fooled me  totally. They pulled the __ over my eyes.	snake	eel	egg	wool
556	I had my sister  __ my hair this morning.	do	to do	done	did
557	They moved to Thonburi __ May 17.	on	at	in	zero
558	The picture was  __ in the museum.	hung	hang	hanged	hanging
559	__ study hard before an examination.	Most of  students	Most of the students	Most of students	Almost the  students
560	He went to bed with __ bad cold.	a	an	the	an
561	"__ loves her, she is so sweet."	all people	all the  people	everybody	nobody
562	She __ me.	doesn't  loves	doesn't love	isn't love	isn't loves
563	I  __ old clothes when I'm working in the garden.	wear	carry	dress	do on
564	- Tell me what your dog  likes? - __.	Biscuit and bones	"Big, black and hairy"	Like a  Doberman	He can run very fast
565	We usually go there once __.	the  week	a week	all weeks	in the week
566	-  Have you been to Osaka? - __.	Until now  not	Not yet	Still not	Yet not
567	Don't  ask me for information: I haven't got __.	one	any	some	them
568	"I know you've got a walkman,  but I'm sure this one isn't __."	your	you	your's	yours
569	Professor Smith __ his  books to students.	don't lend	doesn't lend	lending	haven't  lent
570	__ is your name?	which	what	whose	why
571	Perhaps he is  __.	work	at work	business	on  job
572	Do you believe __ ghosts?	at	in	to	of
573	"- I failed the test.  - Frankly, it's __ surprise to me."	none	no	any	not
574	- What are you  doing? - __ .	No	None	Not	Nothing
575	His  bank manager decided to give him financial __ for his new shop.	backing	pushing	standing	lifting
576	"When  the telephone rang, she __ a letter."	wrote	was writing	was written	is writing
577	I  was tired __ watching the children playing.	with	of	to	for
578	Praja returned home  as __ as he could.	quick	quicker	quickly	quickerly
579	Neither of the two girls __ my student.	is	have been	are	has been
580	__  sisters are nurses.	Bill's both	Both Bill's	Bill his  both	Bill both his
581	__ a letter here for you.	It's	It  has	Theirs	There's
582	I get a letter __ my  boyfriend every day.	from	of	off	out
583	Can I  __ you a question?	put	make	ask	pose
584	The boss  wants __.	that you stay here	for you staying here	you to stay  here	you stay here
585	There's a river. Can you __?	swimming	to  swimming	swim	to swim
586	There is nothing very  __ to do in that small town.	enjoy	enjoyable	enjoyed	enjoying
587	Don't leave your clothes __ about on the bedroom  floor.	lie	lay	lying	laying
588	"When  water freezes, it __ into ice."	turns	has  turned	would turn	is turning
589	- How about __ me  a hand? - Sure. I'd be glad to help.	give	to  give	giving	gives
590	Mr. Brown __ a car if  he had enough money.	will buy	would buy	bought	has  bought
591	"The window was shut, and he __ to open it."	did even not  try	tried not even	even didn't try	didn't even  try
592	There __ no rain here since last month.	is	has been	was	zero
593	Jane is the  __ of the two sisters.	elder	eldest	oldest	older
594	"He __ you now, but he won't believe you tomorrow."	believe	believes	is believing	has believed
595	The aeroplane __ down at Cairo on its way to India.	remained	stayed	landed	touched
596	My  uncle went out of the house __ ago.	an hour's  half	a half of hour	half an hour	a half hour
597	After lunch he went to his room to __.	lie  down	lie along	lie over	lie out
598	I  wonder __ we shall catch the last bus.	what	weather	whether	which
599	It is  rude to laugh __ other people.	at	to	against	for
600	- Did you  like my friend? - Very much. She's __ charming as you said she was.	as	very	more	too
601	Our house is __ the church.	close of	near  from	next to	next by
602	Are these __ books?	yours	your	of you the	you're
603	__  eggs for breakfast.	We have always	Have we always	Always have  we	We always have
604	There isn't __ in the cupboard.	no  thing	anything	nothing	something
605	Do you __  German?	to speak	speak	speak by	speak to
606	"This  morning, I __ in cold water."	washed me	had a wash	made a wash	did my  wash
607	What __?	are you do	are you doing	you are  doing	do you
608	"It's cold outside, so put your coat __."	over	off	on	to
609	__ you speak  English or Spanish?	does	have	has	do
610	He __  there about seven o'clock every morning.	went	go	is going	goes
611	There  are two __ in the bag.	torch	torchs	torches	torchies
612	"Whenever we meet, we stop __."	talking	talk	to talk	to talking
613	"-  Did you enjoy the film strip? - Yes, it was very __ ."	informing	informative	informed	information
614	Frank has worked in Paris for three years and speaks French __.	very by well  now	by well very now	very well by now	by very well  now
615	The next __ of the school play will be on Monday at  5.30pm.	drama	exposition	performance	exhibition
616	Mr Johns has __  painting since he retired.	taken up	taken of	taken over	taken  down
617	I suggested __ to the party.	him in  going	to make him go	him to go	that he should  go
618	Cathy __ head-mistress of the school yesterday.	is  made	is being made	had made	was made
619	"When  students are sixteen, they can __ school if they wish."	escape	go out of	leave	put away
620	Have you ever  heard this song __ in Thailand?	singing	sing	sung	sang
621	I must go __ the bank this morning.	on	to	in	into
622	I don't want __ to eat.	nothing  more	some more	anything more	no more
623	"Tell me,  is __ your coat?"	there	these	here	that
624	__  the light on: it's dark in here.	Do	Put	Make	Push
625	What  __ next?	did you do	did you	you did do	you did
626	We don't  need __ money.	much	many	a few	much of
627	__  size are your shoes?	what	where	how	when
628	"Kate and  Jenny are sisters, and Bill is __ brother."	their	her	hers	they
629	The train arrives __  4.30.	on	at	to	in
630	Wayne is  __ penfriend from Australia.	Kate	Kate is	Kate's	Kates
631	The judge __ the criminal to twenty years in prison.	condemned	punished	sentenced	inflicted
632	Charles __ a box of chocolates.	gives often  Pat	often gives Pat	often Pat gives	to Pat often  gives
633	"The animals were afraid, but their keeper soon got them  __ control."	over	without	under	out  of
634	No sooner __ the news than she fainted.	she  heard	had she heard	as she heard	she had heard
635	John __ very badly at Mary's birthday party.	conducted	behaved	showed	looked
636	It  __ everyday so far this week.	has  rained	is raining	rained	rains
637	- Whose  belt is it? - It's my __.	sister	sisters	sister's	sisters'
638	Who actually saw the accident __?	to  happen	happen	happens	happened
639	Jim  __ that he had seen the robber.	refused	refusing	denied	denying
640	Maria  hasn't visited her home in Spain __.	for many  years	since many years	many years since	many years ago
641	They owe me __.	nobody	anybody	nothing	anything
642	It's late. I want to go  __ home now.	-	at	to	for
643	This is  __.	John's car	John his car	car of John	the John's  car
644	__ train until 3 o'clock.	It isn't	There  isn't	There isn't a	There gives no
645	Tell us something  __ your holiday.	about	-	over	on
646	The book's  __ the pen.	the left of	to the left of	at the left  of	to the left from
647	He is __ a piece of paper.	wearing	holding	having	getting
648	While he __  to London he saw an accident.	was driving	drives	drove	had driven
649	Madame Traiviey has lived nearly 115 years. = __	She was very  old.	She is very old.	She died when she was nearly  115.	Madame Traiviey has many more years.
650	I have __ many  wars.	see	saw	seen	seeing
651	Crusoe is looking  at a ship __ his telescope.	finished  not	not finish	has not finished	will not  finish
652	Anyone who __ his work cannot go.	had	have	have had	will have
653	Our flat is very small. We wish we __ another  bedroom.	tissue	good	business	teeth
654	The  whole story is made up. It's nothing but a __ of lies.	still	yet	quite	then
655	Have  you finished your homework __?	on....on	at.... at	in.....in	zero....in
656	The train will  arrive __ Hualampong __ 8.30 p.m.	so old as	as old as	older as	old  than
657	Tim is __ I am.	That	That which	Whatever	Which
658	"__ I say, please treat it in confidence."	exciting	excited	excitingly	excitedly
659	She got  so __ while watching the game that she began shouting.	be	can	are	is
660	__ either of the sisters coming to the party?	Your  warn	Your warning	You warn	You warning
661	There's __ milk in the fridge.	any	some	a	a lot
662	Kate and Jenny have a  brother. __ Bill.	Their name is	His name	Her name is	His name is
663	__ was happy.	All the people	Everybody	All	Whole of the  people
664	He took a note __ of his pocket.	off	out	-	in
665	He's the man __.	I spoke to  him	I spoke to	which I spoke to him	who I  spoke
666	Is the Eiffel Tower taller __ Big Ben?	then	than	as	of
667	__ Mr Brown's friends ever  been here?	have	has	do	does
668	A train is  __ a bus.	more quickly	quickly	quicker than	more  quick
669	John can fly __ aeroplane.	an	some	a	those
670	He has been studying in the  library every night __ the last three months.	since	until	before	for
671	"- Jane  said that you had read the book three times. - Yes, I found it very __ ."	amusingly	amuse	amusing	amused
672	English is spoken all __ the world.	over	in	above	on
673	Alan Clarke was an  interesting man but sometimes he was a bit economical with the __.	cock	truth	business	teeth
674	__ the moon last night?	Have you seen	Did you  see	Do you see	Did you saw
675	Is Hun Hin __  away from Bangkok than Pet Buri?	further	father	farther	farthest
676	"If you could take a trip to the moon,  __?"	what will you do	what would you do	what are you  going to do	what can you do
677	She finally  decided __ her children alone in the house.	not  leaving	do not leave	not leave	not to leave
678	"He seldom goes to the market, __?"	doesn't  he	does he	is he	isn't he
679	"You have tea  for breakfast, __ you?"	haven't	don't	won't	have
680	- __ shall I do? - You ought to consult  your parents.	What	How	Why	Whom
681	It's __.	thirty past  twelve	half past twelve	thirty minutes for one	half  one
682	- __ that radio? - Thirty pounds.	What you want  for	How much is it	How much costs	What's the price  of
683	Janet is __.	an old friend of  mine	an old my friend	a my old friend	an old friend of  me
684	- I think Real Madrid is a great team. - __.	And I so	So do  I	The same for me	So am I
685	We arrived back __  London last week.	-	at	to	in
686	- I never  drink coffee. - __.	Nor I don't	Me too	I don't too	Neither do I
687	I  was in Rome __ two weeks.	for	during	since	while
688	Where were  you __ the weekend?	in	at	-	by
689	"I must go to  bed early, because I __ very sleepy."	is	are	am	am not
690	He is __ school.	on  the	at	on	to
691	It's seven __  nine.	to	minutes to	for	of
692	Henderson __ going to work.	likes  not	don't like	doesn't like	not like
693	__ early in the morning?	Does he get up	Gets he up	Do he get  up	Get he up
694	You don't have to do this test. = __	You can choose  not to do this test.	You mustn't do it.	You can't do  this test.	You have no desire to do it.
695	Can  'Brain Box' play __ piano?	a	an	the	not
696	She told me I would have an accident if I __ more care.	am not  taking	haven't taken	won't take	didn't take
697	"""__ 'Good morning' to your new teacher, please."""	Say	Tell	Speak	Talk
698	One of the girls  __ in that company died.	whose work	whom  worked	worked	who worked
699	I __ Tom for a  long time.	know	knew	have known	had  known
700	"This is the second time that you have been here, __?"	is  it	haven't you	don't you	isn't it
701	__ that!	Do not	Don't  do	Not to do	Does not
702	__ my friend Isabel.	I present  you	"You'll let,"	This is	I introduce
703	Two gunmen  entered __ the bank.	to	-	in	into
704	__  you see him tomorrow?	did	do	have	will
705	Jack  __ to Paris twice this year.	be	has been	had been	is
706	Either  teacher knows the answer. = __	No teachers know the  answer.	Both teachers know the answer.	All the teachers know the  answer.	Any teacher can answer.
707	They bought a ticket for the  train at the __ station.	bus	railway	police	lorry
708	"The more  he tried to help her, __ she seemed to appreciate it."	less	lesser	the less	the lesser
709	- How will you be able  to get to Rome in time for the meeting? - I'll fly __ will only take 50  minutes.	and such	that	and therefore	which
710	When he __ his cup he broke it.	was  dropping	dropped	drop	had dropped
711	The girl you  __ yesterday is waiting for you in the drawing room.	told  me	told me about	told about	told me about  her
712	Please help yourself __ whatever you like.	on	in	over	to
713	"- Mark wasn't there  last night. - No, __ ."	I wasn't either	either was  I	I wasn't too	neither I was
714	"As it had not rain  for several months, there was a __ of water."	waste	shortage	drop	loss
715	It was a fine day  for a picnic __ rather cold.	if	though	so	therefore
716	I'd be careful in my dealings with her. I'm sure she's  up to no __.	pretences	good	eel	egg
717	Michael  is the __ member of the team.	younger	more young	youngest	most young
718	The man felt __ again after a sound sleep.	strongly	strong	strength	strengthly
719	He  swam __ the river yesterday.	cross	crossed	across	crossing
720	The boat __ in the river last night.	sinks	sank	drowns	drowned
721	Betty __ play tennis.	doesn't able	doesn't  can	can't	can't to
722	They never do __  homework on time.	there	they're	their	they
723	Tell Chris  __ outside.	not go	for not going	not going	not to  go
724	- I don't like salmon. - __!	Neither do I	So do  I	So I do	So I don't
725	"Which sister is  __, Kate or Jenny?"	more taller	the more taller	the most  tall	taller
726	It is the most beautiful building __ the  world.	in	of	from	on
727	I'm talking  to you. Please listen to __.	me	I	him	mine
728	I will  __ find this address for you in the afternoon.	try to	to  try	have tried	tried
729	I remember __ him in  London.	of meeting	to meet	to meeting	meeting
730	But I  saw him in Frankfurt __.	3 years ago	for 3  years	before 3 years	since 3 years
731	Are __ your  glasses?	the	this	those	that
732	__  her motorbike to school every morning?	Is Lisa  riding	Do Lisa riding	Are Lisa ride	Does Lida  ride
733	John gradually became __ in the discussion.	absorb	absorbed	to absorb	absorbing
734	There is water below the earth's surface __ everywhere.	most	most of	almost	in
735	Students  should answer seven of the __ ten questions.	below	following	under	added
736	The assembly hall  is almost full. There are __ seats left.	only a  little	only few	only a few	only little
737	The book describes adventures that happened __.	at a long  time	a long time ago	in the very old	an old time  ago
738	"He pointed to Number 6 and said, ""That's the house she lives  __. ""."	there	where	in	in it
739	It is  dark in here. Please turn __ the light.	on	out	over	off
740	"- They don't have  much in their apartment yet. - __ they are planning to live here only  until Bob gets his degree, they don't want to buy much furniture."	Even	Since	Otherwise	However
741	There isn't __ bread in the house.	some	of	any	nothing
742	__ many students in  your class?	Have there	Is it	Are they	Are there
743	Are  the best schools __ of England?	in south	at the  south	at south	in the south
744	They never do __  homework on time.	there	they're	they	their
745	Who is  that old man __ the big nose?	of	with	near	from
746	Chinese people __ a lot  of rice.	are eating	eating	eat	are eat
747	__  far is it to the station?	who	why	whose	how
748	Do you know  __?	their address	there address	theirs  address	the address from them
749	"I spoke slowly, but he __  understand me."	canned not	didn't can	didn't could	could  not
750	Sometimes advertising signs __ down during a storm and  people are injured by them.	blow	are blown	blew	were blown
751	He bought __.	leather  belt	a leather belt	leathered belt	a leathered  belt
752	__ does it take to get to the river from here?	How  far	How long	How much	How many
753	-  Sandra is a miserable person. - Of course she is. She's jealous __  everyone.	about	with	to	of
754	"He  __ to the last meeting, but he didn't."	must  go	should have gone	would go	had gone
755	"When  he failed __ us, we left without him."	to  meet	not to meet	to be met	not to be met
756	"Peter has been trying for an hour, but his car still __ start."	won't	wouldn't	didn't	hasn't
757	Do you  believe that ghosts __?	exist	are existed	are  existing	are being existed
758	Mrs Lewis then stood up and said a  few words __ to the visitors.	to  welcome	of welcome	of welcomes	for welcoming
759	Soldiers must have __ to face danger.	courageous  enough	enough courage	such enough courage	so courageous  enough
760	Try again. Don't give __ hope.	out	up	on	off
761	What __ got in that bag?	you	do  you	you have	have you
762	Is Elizabeth __?	yours old  friend	an old your friend	an old friend from you	an old friend of  yours
763	We travelled from Hadley __ Burton without stopping.	after	to	until	for
764	My house is opposite  __ the park.	from	of	-	to
765	"- Is John in?  - No, he __."	still works	works yet	is still at  work	is yet at work
766	__ are your glasses?	when	whose	how	where
767	This is __ when I was  young.	the my photograph	mine photograph	a photograph of  me	my photographs
768	The committee held a __ last week.	meeting	gathering	session	sitting
769	If you see Tom  __ you mind __ him to get in touch with me?	will -  reminding	will - to remind	would - reminding	would - to  remind
770	- John found it difficult to adjust to Libya. - For one  thing __ is a difficult language to learn.	Arabic	the Arabic	the language Arabic	Arabics  language
771	She chose cushions of a colour which would __ her  carpet.	equal	agree	help	match
772	There  __ some good news about our school lately.	is	were	has been	have been
773	I  __ in the cafe having a drink when the police arrived.	sat	was sat	was sitting	have sat
774	One  third of the oranges __ spoilt.	is	are	has been	have been
775	"If  he doesn't __ his ways, he'll end up in trouble."	mend	repair	correct	restore
776	"If  you want a good flat in London, you have to pay through the __ for it."	mouth	ear	nose	teeth
777	Jim always gets  very annoyed if he can't get his own __.	wish	way	device	object
778	-  __ do you visit your hometown? - Once a year.	How  long	How far	How often	How
779	He speaks  __ good English that is pleasure to talk with him.	so	such	such a	very
780	I have  promise to stop __ but I don't believe so much.	smoking	smoke	smokes	to smoke
781	Is the tall man __ husband?	your  sisters'	your sister's	your sister	your sister his
782	This is a photo __ my dog.	about	from	by	of
783	Have __  had something to eat?	them all	their all	all they	they  all
784	Please go and __ a bath.	wash	make	have	do
785	The boys left __ school  before lunch.	in the	-	out of	at
786	There are  three men __ waiting outside.	who	they	which	-
787	"Do you know these people? No, I  don't know __."	they	their	them	their's
788	The  girls are __ the discotheque.	by	on	to	at
789	__ you ride a motorbike?	Have	Has	Can	How
790	Just a moment. I'm  putting you __.	up	under	through	in
791	He will  not be __ to vote in this year's election.	old  enough	as old enough	enough old	enough old as
792	It is not very easy to study a foreign language all by __.	oneself	itself	himself	herself
793	You  can __ my surprise when I heard the news.	suppose	think	see	imagine
794	"He __ book  the tickets, but he had no time to call at the cinema."	would	might	could	was going to
795	A taxi  collided with his car ten minutes ago but the police __.	has not come  yet	have not come yet	did not come yet	don't come
796	Her hands were so cold __ she could not type.	for	that	as	zero
797	"I want some sugar,  but there is __ in the bowl."	no	none	less	any
798	The girl you __ yesterday is waiting for you  downstairs.	told me	told me about	tell	told me about  her
799	London is __ of England.	capital	a capital	an capital	the capital
800	Read __ on the board please.	a first sentence	the first  sentence	first sentence	sentence first
